sol_number,avg_hamming,weights,Method
1,0.0,random,Solution Pool
2,0.0027188689505165853,random,Solution Pool
3,0.002311038607939097,random,Solution Pool
4,0.0023382272974442632,random,Solution Pool
5,0.002501359434475258,random,Solution Pool
6,0.0026152929904969054,random,Solution Pool
7,0.0028159714130350346,random,Solution Pool
8,0.0030662799830825935,random,Solution Pool
9,0.0031478460515980905,random,Solution Pool
10,0.0030945672054970585,random,Solution Pool
11,0.003122579794684199,random,Solution Pool
12,0.0030883562694329417,random,Solution Pool
13,0.002990755845568244,random,Solution Pool
14,0.002962272456562832,random,Solution Pool
15,0.002954504259561356,random,Solution Pool
16,0.002954770815340818,random,Solution Pool
17,0.0030316277317524796,random,Solution Pool
18,0.0030209655005739833,random,Solution Pool
19,0.00300935863312441,random,Solution Pool
20,0.002982987648566768,random,Solution Pool
21,0.0029766318510201055,random,Solution Pool
22,0.0030713547275005534,random,Solution Pool
23,0.0030744891284645876,random,Solution Pool
24,0.003043320645278231,random,Solution Pool
25,0.0030141799472957714,random,Solution Pool
26,0.002989981239029635,random,Solution Pool
27,0.0029799666830661936,random,Solution Pool
28,0.0029947738785000414,random,Solution Pool
29,0.002992005900258136,random,Solution Pool
30,0.0030965870885883515,random,Solution Pool
31,0.003098195021838657,random,Solution Pool
32,0.003127729167696541,random,Solution Pool
33,0.003123549088427699,random,Solution Pool
34,0.003141093305185043,random,Solution Pool
35,0.003105552534590055,random,Solution Pool
36,0.003170380821278048,random,Solution Pool
37,0.0031624738845482383,random,Solution Pool
38,0.0032076049076134937,random,Solution Pool
39,0.0032107053722061876,random,Solution Pool
40,0.003202960251462221,random,Solution Pool
41,0.0031694875326753733,random,Solution Pool
42,0.0031783367266503956,random,Solution Pool
43,0.003222980593138793,random,Solution Pool
44,0.0032522066779815556,random,Solution Pool
45,0.0032573888875754254,random,Solution Pool
46,0.0032229034904643406,random,Solution Pool
47,0.0032153999822598623,random,Solution Pool
48,0.003200682121679558,random,Solution Pool
49,0.0031949484524641833,random,Solution Pool
50,0.0031636972352834555,random,Solution Pool
51,0.0031324404944978786,random,Solution Pool
52,0.003133604983461858,random,Solution Pool
53,0.003130404250783456,random,Solution Pool
54,0.003135212923141145,random,Solution Pool
55,0.003121579345070373,random,Solution Pool
56,0.003117840822829232,random,Solution Pool
57,0.0031187219704019945,random,Solution Pool
58,0.003091978494398113,random,Solution Pool
59,0.0030652559269807034,random,Solution Pool
60,0.003038596053331432,random,Solution Pool
61,0.0030226748781972588,random,Solution Pool
62,0.0030176243405733486,random,Solution Pool
63,0.0030208306360427076,random,Solution Pool
64,0.003014023089471703,random,Solution Pool
65,0.0030226978024694177,random,Solution Pool
66,0.003017194417452507,random,Solution Pool
67,0.0030272779657990636,random,Solution Pool
68,0.003026451141252775,random,Solution Pool
69,0.0030243054500094005,random,Solution Pool
70,0.0030383497286054556,random,Solution Pool
71,0.003037027676298866,random,Solution Pool
72,0.0030437261995509106,random,Solution Pool
73,0.003038570090347784,random,Solution Pool
74,0.0030310244992137326,random,Solution Pool
75,0.00302719822939622,random,Solution Pool
76,0.0030559863993366186,random,Solution Pool
77,0.00303629667414333,random,Solution Pool
78,0.0030286135144994876,random,Solution Pool
79,0.003026462510582939,random,Solution Pool
80,0.0030077068186547978,random,Solution Pool
81,0.0030329183722022706,random,Solution Pool
82,0.0030184798398623742,random,Solution Pool
83,0.0030038588284622995,random,Solution Pool
84,0.003002788935041118,random,Solution Pool
85,0.003065217892612487,random,Solution Pool
86,0.003060599017486085,random,Solution Pool
87,0.0030584434659925463,random,Solution Pool
88,0.0030778207501634377,random,Solution Pool
89,0.0030705907990216143,random,Solution Pool
90,0.0030562875587345404,random,Solution Pool
91,0.0030418726602853136,random,Solution Pool
92,0.003038930288403484,random,Solution Pool
93,0.003022727903233893,random,Solution Pool
94,0.0030366082155511994,random,Solution Pool
95,0.0030606355475420468,random,Solution Pool
96,0.0030642166947896757,random,Solution Pool
97,0.003048245079636604,random,Solution Pool
98,0.003045178062656506,random,Solution Pool
99,0.003042991085405441,random,Solution Pool
1,0.0016313213703099511,random,Random Shuffle
2,0.0025376110204821463,random,Random Shuffle
3,0.0028548123980424145,random,Random Shuffle
4,0.002936378466557912,random,Random Shuffle
5,0.0026101141924959217,random,Random Shuffle
6,0.0026670809705067458,random,Random Shuffle
7,0.002757709935523965,random,Random Shuffle
8,0.002809497915533805,random,Random Shuffle
9,0.002809497915533805,random,Random Shuffle
10,0.0028276237085372484,random,Random Shuffle
11,0.0030072338392077382,random,Random Shuffle
12,0.0029558985513308514,random,Random Shuffle
13,0.0029549026286383546,random,Random Shuffle
14,0.0030037028405707033,random,Random Shuffle
15,0.0031153706724669204,random,Random Shuffle
16,0.0030907142628666473,random,Random Shuffle
17,0.003212885661786919,random,Random Shuffle
18,0.0032022234306084228,random,Random Shuffle
19,0.0031080965055379065,random,Random Shuffle
20,0.0030425438255780833,random,Random Shuffle
21,0.0030578448196719,random,Random Shuffle
22,0.003052010995836799,random,Random Shuffle
23,0.0030252342561726204,random,Random Shuffle
24,0.0029980061627696212,random,Random Shuffle
25,0.0029823900949512696,random,Random Shuffle
26,0.003183632873681813,random,Random Shuffle
27,0.0031720137756026823,random,Random Shuffle
28,0.0031541558514613585,random,Random Shuffle
29,0.003142012463045258,random,Random Shuffle
30,0.0031480409525981275,random,Random Shuffle
31,0.003150818291848655,random,Random Shuffle
32,0.003174073524807619,random,Random Shuffle
33,0.003173467716217932,random,Random Shuffle
34,0.003120987383534164,random,Random Shuffle
35,0.003110731332591039,random,Random Shuffle
36,0.0031026132168057124,random,Random Shuffle
37,0.0030812558931387814,random,Random Shuffle
38,0.0030358868686334987,random,Random Shuffle
39,0.0030569847046192883,random,Random Shuffle
40,0.003055743444873274,random,Random Shuffle
41,0.00303275463423476,random,Random Shuffle
42,0.00303923180360071,random,Random Shuffle
43,0.0030361661303654553,random,Random Shuffle
44,0.00300229044111589,random,Random Shuffle
45,0.00299600969861272,random,Random Shuffle
46,0.002960322622347845,random,Random Shuffle
47,0.0029249534321381877,random,Random Shuffle
48,0.00288995424162052,random,Random Shuffle
49,0.0029179567422401263,random,Random Shuffle
50,0.002918892407425178,random,Random Shuffle
51,0.002968406168674857,random,Random Shuffle
52,0.002935904933504121,random,Random Shuffle
53,0.0029734660430177887,random,Random Shuffle
54,0.0029788550723841645,random,Random Shuffle
55,0.0029792800999978815,random,Random Shuffle
56,0.0029675875387217363,random,Random Shuffle
57,0.002937793002128054,random,Random Shuffle
58,0.002934980100294642,random,Random Shuffle
59,0.002935764032896778,random,Random Shuffle
60,0.0029767900706311637,random,Random Shuffle
61,0.002988886713026905,random,Random Shuffle
62,0.0030117773105722374,random,Random Shuffle
63,0.0029846869416608403,random,Random Shuffle
64,0.0029735014849207346,random,Random Shuffle
65,0.0029782072196427823,random,Random Shuffle
66,0.0030066189886988016,random,Random Shuffle
67,0.003007942725676865,random,Random Shuffle
68,0.002982643278367214,random,Random Shuffle
69,0.0029803982495662756,random,Random Shuffle
70,0.002962418338196662,random,Random Shuffle
