sol_number,avg_hamming,weights,Method
1,0.0,random,Solution Pool
2,0.0,random,Solution Pool
3,0.0,random,Solution Pool
4,0.0,random,Solution Pool
5,0.15414258188824664,random,Solution Pool
6,0.1317414573898724,random,Solution Pool
7,0.11527377521613832,random,Solution Pool
8,0.10246557796990075,random,Solution Pool
9,0.09221902017291066,random,Solution Pool
10,0.15133998949027852,random,Solution Pool
11,0.13972578814077374,random,Solution Pool
12,0.1300524643464125,random,Solution Pool
13,0.12160749912911296,random,Solution Pool
14,0.15854665565648224,random,Solution Pool
15,0.14985590778097982,random,Solution Pool
16,0.142397016443465,random,Solution Pool
17,0.13561620613663333,random,Solution Pool
18,0.16225534935604907,random,Solution Pool
19,0.1825372680255552,random,Solution Pool
20,0.1981833195706028,random,Solution Pool
21,0.19162393802163252,random,Solution Pool
22,0.18589604856989897,random,Solution Pool
23,0.19938007874675379,random,Solution Pool
24,0.1936599423631124,random,Solution Pool
25,0.18869430281534028,random,Solution Pool
26,0.20025361065823494,random,Solution Pool
27,0.20919350399119185,random,Solution Pool
28,0.2164070730943364,random,Solution Pool
29,0.21199774752393255,random,Solution Pool
30,0.208236497164637,random,Solution Pool
31,0.20451798828669704,random,Solution Pool
32,0.20085582045236225,random,Solution Pool
33,0.20854584608409837,random,Solution Pool
34,0.2045867338289783,random,Solution Pool
35,0.21139554087530965,random,Solution Pool
36,0.20770049588493394,random,Solution Pool
37,0.21378238597587548,random,Solution Pool
38,0.21032408109611203,random,Solution Pool
39,0.207492795389049,random,Solution Pool
40,0.20468123989597248,random,Solution Pool
41,0.2018964611218776,random,Solution Pool
42,0.2079132499887978,random,Solution Pool
43,0.20471452681090102,random,Solution Pool
44,0.21019442984760905,random,Solution Pool
45,0.20715866850436454,random,Solution Pool
46,0.20474158040239182,random,Solution Pool
47,0.20234226500705133,random,Solution Pool
48,0.1999647121096277,random,Solution Pool
49,0.19761218608480854,random,Solution Pool
50,0.20310551966451323,random,Solution Pool
51,0.20029470444795075,random,Solution Pool
52,0.20537429633296142,random,Solution Pool
53,0.20267562434926906,random,Solution Pool
54,0.2005841314198663,random,Solution Pool
55,0.20538998573680656,random,Solution Pool
56,0.2028125067712509,random,Solution Pool
57,0.2008399713384624,random,Solution Pool
58,0.19888263263474013,random,Solution Pool
59,0.19694231426757194,random,Solution Pool
60,0.1950205508574668,random,Solution Pool
61,0.19979030576842544,random,Solution Pool
62,0.1973760902830346,random,Solution Pool
63,0.19555372581309183,random,Solution Pool
64,0.19374861449789402,random,Solution Pool
65,0.1919617366303245,random,Solution Pool
66,0.1965997652305995,random,Solution Pool
67,0.20035829015412565,random,Solution Pool
68,0.19811758809525565,random,Solution Pool
69,0.20220443040247013,random,Solution Pool
70,0.20544073690699108,random,Solution Pool
71,0.20330758164098262,random,Solution Pool
72,0.206931137329427,random,Solution Pool
73,0.20485528361253758,random,Solution Pool
74,0.20830078633546842,random,Solution Pool
75,0.2109319541628638,random,Solution Pool
76,0.21335524834155806,random,Solution Pool
77,0.21558403061293235,random,Solution Pool
78,0.21763071444786525,random,Solution Pool
79,0.2158100171451501,random,Solution Pool
80,0.21460846052584767,random,Solution Pool
81,0.21340053298067402,random,Solution Pool
82,0.21218775432086115,random,Solution Pool
83,0.21489757543800303,random,Solution Pool
84,0.21683586729489485,random,Solution Pool
85,0.21509361066321844,random,Solution Pool
86,0.21396981959392264,random,Solution Pool
87,0.21284092038340274,random,Solution Pool
88,0.2153902472146286,random,Solution Pool
89,0.21368102551925366,random,Solution Pool
90,0.21258792440348634,random,Solution Pool
91,0.2150852414737813,random,Solution Pool
92,0.21683732066467232,random,Solution Pool
93,0.21519881165950328,random,Solution Pool
94,0.21417944886743195,random,Solution Pool
95,0.2131553668031751,random,Solution Pool
96,0.21212751418639886,random,Solution Pool
97,0.21109676824768947,random,Solution Pool
98,0.21006393999395234,random,Solution Pool
99,0.21252992351258249,random,Solution Pool
1,0.4610951008645533,random,Random Shuffle
2,0.30739673390970224,random,Random Shuffle
3,0.23054755043227665,random,Random Shuffle
4,0.1844380403458213,random,Random Shuffle
5,0.2466281310211946,random,Random Shuffle
6,0.2195690956497873,random,Random Shuffle
7,0.19761218608480854,random,Random Shuffle
8,0.23121387283236994,random,Random Shuffle
9,0.2466281310211946,random,Random Shuffle
10,0.23473932407649986,random,Random Shuffle
11,0.223561261025238,random,Random Shuffle
12,0.21281312347594766,random,Random Shuffle
13,0.22867306104300325,random,Random Shuffle
14,0.2195690956497873,random,Random Shuffle
15,0.23121387283236994,random,Random Shuffle
16,0.23801428085685142,random,Random Shuffle
17,0.23205439716712814,random,Random Shuffle
18,0.22650285656504374,random,Random Shuffle
19,0.22084028515091766,random,Random Shuffle
20,0.21517771373679156,random,Random Shuffle
21,0.20958868221116062,random,Random Shuffle
22,0.20412115137086945,random,Random Shuffle
23,0.19880549638725306,random,Random Shuffle
24,0.2096339113680154,random,Random Shuffle
25,0.2176967541129391,random,Random Shuffle
26,0.21281312347594766,random,Random Shuffle
27,0.20859064086729792,random,Random Shuffle
28,0.20442639939807783,random,Random Shuffle
29,0.2126104577768919,random,Random Shuffle
30,0.208236497164637,random,Random Shuffle
31,0.20451798828669704,random,Random Shuffle
32,0.20085582045236225,random,Random Shuffle
33,0.20854584608409837,random,Random Shuffle
34,0.21450429882935834,random,Random Shuffle
35,0.21946967611707496,random,Random Shuffle
36,0.22357617733340276,random,Random Shuffle
37,0.2203811577389615,random,Random Shuffle
38,0.2246612529545295,random,Random Shuffle
39,0.22168033695411216,random,Random Shuffle
40,0.22557451008036092,random,Random Shuffle
41,0.22825992091465092,random,Random Shuffle
