sol_number,avg_hamming,weights,Method
1,0.0053458068827263614,random,Solution Pool
2,0.004900322975832498,random,Solution Pool
3,0.0053458068827263614,random,Solution Pool
4,0.006014032743067156,random,Solution Pool
5,0.006192226305824702,random,Solution Pool
6,0.0063004152546417835,random,Solution Pool
7,0.006467471719726982,random,Solution Pool
8,0.006459516649961021,random,Solution Pool
9,0.006697108066971079,random,Solution Pool
10,0.00660936123682532,random,Solution Pool
11,0.006722757140398303,random,Solution Pool
12,0.007333350467329751,random,Solution Pool
13,0.007365170746393598,random,Solution Pool
14,0.007598682640446757,random,Solution Pool
15,0.00745628689163604,random,Solution Pool
16,0.007429099270847663,random,Solution Pool
17,0.007223827274533825,random,Solution Pool
18,0.007244975117379148,random,Solution Pool
19,0.007455993810118347,random,Solution Pool
20,0.007668687254387221,random,Solution Pool
21,0.007477765580004137,random,Solution Pool
22,0.007289736658263221,random,Solution Pool
23,0.0072851145426284505,random,Solution Pool
24,0.007248023165163158,random,Solution Pool
25,0.007188054177696677,random,Solution Pool
26,0.007261006926893997,random,Solution Pool
27,0.007226738934056008,random,Solution Pool
28,0.00721881434348455,random,Solution Pool
29,0.007089338725224758,random,Solution Pool
30,0.007041519818644939,random,Solution Pool
31,0.006920718235021502,random,Solution Pool
32,0.006940436776721441,random,Solution Pool
33,0.006883560154918815,random,Solution Pool
34,0.006913610750013335,random,Solution Pool
35,0.006963337735138604,random,Solution Pool
36,0.00686486687154913,random,Solution Pool
37,0.006818185058640859,random,Solution Pool
38,0.006869830774731684,random,Solution Pool
39,0.006861308865986447,random,Solution Pool
40,0.0068452405205642435,random,Solution Pool
41,0.00681652465897004,random,Solution Pool
42,0.006858380147993897,random,Solution Pool
43,0.006805166954041459,random,Solution Pool
44,0.006792954604514912,random,Solution Pool
45,0.006792661136855561,random,Solution Pool
46,0.00678610869086147,random,Solution Pool
47,0.0068670870328639165,random,Solution Pool
48,0.006829995613347242,random,Solution Pool
49,0.006835541433412656,random,Solution Pool
50,0.006874078732729311,random,Solution Pool
51,0.006904496615783737,random,Solution Pool
52,0.006908233386367901,random,Solution Pool
53,0.006929749662793431,random,Solution Pool
54,0.0069495489475442694,random,Solution Pool
55,0.006911364612667652,random,Solution Pool
56,0.0069183985690922925,random,Solution Pool
57,0.006879937033962488,random,Solution Pool
58,0.006827542075089294,random,Solution Pool
59,0.006834402683474246,random,Solution Pool
60,0.006848037040891405,random,Solution Pool
61,0.0068706057126420314,random,Solution Pool
62,0.006858809829181556,random,Solution Pool
63,0.0068522982196553865,random,Solution Pool
64,0.006885938985838752,random,Solution Pool
65,0.006883505179529235,random,Solution Pool
66,0.0069016760500870186,random,Solution Pool
67,0.006909302859730943,random,Solution Pool
68,0.006877656276124825,random,Solution Pool
69,0.006833889150599155,random,Solution Pool
70,0.006838760595648733,random,Solution Pool
71,0.0069052619910725446,random,Solution Pool
72,0.006876522133583129,random,Solution Pool
73,0.006846779224335989,random,Solution Pool
74,0.006805549284667226,random,Solution Pool
75,0.006776279154283972,random,Solution Pool
76,0.006805581216047743,random,Solution Pool
77,0.0068435851930673175,random,Solution Pool
78,0.00684232049400565,random,Solution Pool
79,0.006849315068493152,random,Solution Pool
80,0.0068633395618583285,random,Solution Pool
81,0.006894537520197937,random,Solution Pool
82,0.006867233261192562,random,Solution Pool
83,0.006895224447022014,random,Solution Pool
84,0.006905374913079164,random,Solution Pool
85,0.006896164008770121,random,Solution Pool
86,0.006861595348605001,random,Solution Pool
87,0.006859090577421857,random,Solution Pool
88,0.006867573538119419,random,Solution Pool
89,0.006893654899301032,random,Solution Pool
90,0.006875791172483454,random,Solution Pool
91,0.0068746169793541196,random,Solution Pool
92,0.006856265992005344,random,Solution Pool
93,0.006848130270868434,random,Solution Pool
94,0.0068166520687127745,random,Solution Pool
95,0.006810042145122244,random,Solution Pool
96,0.006886056009267901,random,Solution Pool
