sol_number,avg_hamming,weights,Method
1,0.0,random,Solution Pool
2,0.003142183817753339,random,Solution Pool
3,0.002356637863315004,random,Solution Pool
4,0.0018853102906520032,random,Solution Pool
5,0.0015710919088766694,random,Solution Pool
6,0.0013466502076085736,random,Solution Pool
7,0.001178318931657502,random,Solution Pool
8,0.0018329405603561143,random,Solution Pool
9,0.0016758313694684474,random,Solution Pool
10,0.001542526601442548,random,Solution Pool
11,0.001428265371706063,random,Solution Pool
12,0.0013293854613571816,random,Solution Pool
13,0.0012430617301002218,random,Solution Pool
14,0.0011670968465940972,random,Solution Pool
15,0.0015318146111547525,random,Solution Pool
16,0.001455570444988679,random,Solution Pool
17,0.0013862575666558847,random,Solution Pool
18,0.0013230247653698269,random,Solution Pool
19,0.001265142431884897,random,Solution Pool
20,0.0012119851868477162,random,Solution Pool
21,0.0011630160883892228,random,Solution Pool
22,0.0011177728995960493,random,Solution Pool
23,0.0010758564158611973,random,Solution Pool
24,0.0010369206598586018,random,Solution Pool
25,0.0010006646927306787,random,Solution Pool
26,0.001179437942988611,random,Solution Pool
27,0.0011409119814461527,random,Solution Pool
28,0.0011047949260696774,random,Solution Pool
29,0.0012496501160260403,random,Solution Pool
30,0.0014460802946219668,random,Solution Pool
31,0.0014063806603654056,random,Solution Pool
32,0.0013687543145516439,random,Solution Pool
33,0.0013330476802589921,random,Solution Pool
34,0.0012991213767518004,random,Solution Pool
35,0.001266848713824362,random,Solution Pool
36,0.0012361143547317938,random,Solution Pool
37,0.001340903478415365,random,Solution Pool
38,0.001310303373395117,random,Solution Pool
39,0.0012810441718532843,random,Solution Pool
40,0.0014283524610579964,random,Solution Pool
41,0.0013986549920487422,random,Solution Pool
42,0.0013701382926250025,random,Solution Pool
43,0.0013427355267725022,random,Solution Pool
44,0.0014250914486578273,random,Solution Pool
45,0.0013980441044206884,random,Solution Pool
46,0.0013719803533576095,random,Solution Pool
47,0.0013468491807479958,random,Solution Pool
48,0.0013226028824727064,random,Solution Pool
49,0.001299196819340462,random,Solution Pool
50,0.0012765891902715525,random,Solution Pool
51,0.0012547408231526342,random,Solution Pool
52,0.001233614982151347,random,Solution Pool
53,0.0012131771902926063,random,Solution Pool
54,0.0011933950661366217,random,Solution Pool
55,0.0011742381734526275,random,Solution Pool
56,0.0011556778828453694,random,Solution Pool
57,0.0011376872443589674,random,Solution Pool
58,0.001120240870151687,random,Solution Pool
59,0.0011033148264032204,random,Solution Pool
60,0.0011697337299696512,random,Solution Pool
61,0.001152771033086398,random,Solution Pool
62,0.0012557472963422838,random,Solution Pool
63,0.0013517157321163607,random,Solution Pool
64,0.001333539790923923,random,Solution Pool
65,0.0013158352514204832,random,Solution Pool
66,0.001298584560593448,random,Solution Pool
67,0.0012817709888706277,random,Solution Pool
68,0.0012653785856020746,random,Solution Pool
69,0.0012493921370590657,random,Solution Pool
70,0.0012337971268301087,random,Solution Pool
71,0.0012185796984929566,random,Solution Pool
72,0.001203726620442608,random,Solution Pool
73,0.001189225252757627,random,Solution Pool
74,0.0011750635159904603,random,Solution Pool
75,0.001161229861771475,random,Solution Pool
76,0.0011477132451209436,random,Solution Pool
77,0.0011345030983679844,random,Solution Pool
78,0.0011215893065804072,random,Solution Pool
79,0.001202183618880945,random,Solution Pool
80,0.0011889868396807387,random,Solution Pool
81,0.0011760718113421862,random,Solution Pool
82,0.0011634298002848095,random,Solution Pool
83,0.0011510524197564584,random,Solution Pool
84,0.001138931613493787,random,Solution Pool
85,0.0011270596402392962,random,Solution Pool
86,0.001115429059068814,random,Solution Pool
87,0.0011040327154854337,random,Solution Pool
88,0.0010928637282380097,random,Solution Pool
89,0.001164883251787583,random,Solution Pool
90,0.0011534768801068878,random,Solution Pool
91,0.0011422881568719885,random,Solution Pool
92,0.0011313110391057927,random,Solution Pool
93,0.00112053969936468,random,Solution Pool
94,0.0011099685165848721,random,Solution Pool
95,0.0011765962431609267,random,Solution Pool
96,0.001165833879976137,random,Solution Pool
97,0.0012291405981817577,random,Solution Pool
98,0.0012182358720345479,random,Solution Pool
99,0.0012075190237012705,random,Solution Pool
1,0.0,random,Random Shuffle
2,0.0,random,Random Shuffle
3,0.0015710919088766694,random,Random Shuffle
4,0.0012568735271013356,random,Random Shuffle
5,0.0010473946059177794,random,Random Shuffle
6,0.0008977668050723824,random,Random Shuffle
7,0.0007855459544383348,random,Random Shuffle
8,0.000698263070611853,random,Random Shuffle
9,0.0006284367635506677,random,Random Shuffle
10,0.0013854174105548812,random,Random Shuffle
11,0.0016663096003237403,random,Random Shuffle
12,0.001550949704916712,random,Random Shuffle
13,0.0014502386851169252,random,Random Shuffle
14,0.0013616129876931134,random,Random Shuffle
15,0.0012830583922492798,random,Random Shuffle
16,0.0012129753708238992,random,Random Shuffle
17,0.0011500803515959934,random,Random Shuffle
18,0.0010933329658264542,random,Random Shuffle
19,0.0010418820027287387,random,Random Shuffle
20,0.0009950248756218907,random,Random Shuffle
21,0.0009521769144707088,random,Random Shuffle
22,0.001266809286208856,random,Random Shuffle
23,0.001218165465578287,random,Random Shuffle
24,0.001173081958627913,random,Random Shuffle
25,0.001131186174391202,random,Random Shuffle
26,0.0010921550591621292,random,Random Shuffle
27,0.0010557072615203016,random,Random Shuffle
28,0.0012886049400392386,random,Random Shuffle
29,0.0012496501160260407,random,Random Shuffle
30,0.0012129505274983317,random,Random Shuffle
31,0.001178318931657502,random,Random Shuffle
32,0.0011455878502225716,random,Random Shuffle
33,0.0011146070939980649,random,Random Shuffle
34,0.001085241637896321,random,Random Shuffle
35,0.0010573697926408061,random,Random Shuffle
36,0.0010308816278965533,random,Random Shuffle
37,0.0010056776088115237,random,Random Shuffle
38,0.0009816674140484451,random,Random Shuffle
39,0.0009587689084939674,random,Random Shuffle
40,0.0009369072480984041,random,Random Shuffle
41,0.0009160140978584068,random,Random Shuffle
42,0.0008960269469230176,random,Random Shuffle
43,0.0008768885072800016,random,Random Shuffle
44,0.0008585461845477557,random,Random Shuffle
45,0.0008409516111281882,random,Random Shuffle
46,0.0009941044085769119,random,Random Shuffle
47,0.0009749683831681458,random,Random Shuffle
48,0.0009565491554045027,random,Random Shuffle
49,0.000938807573304263,random,Random Shuffle
50,0.0009217072532076462,random,Random Shuffle
51,0.0010094798690519775,random,Random Shuffle
52,0.0009919085346318595,random,Random Shuffle
53,0.0009749333438731532,random,Random Shuffle
54,0.0009585247605671801,random,Random Shuffle
55,0.0009426551453260016,random,Random Shuffle
56,0.0009272986078708163,random,Random Shuffle
57,0.001047869830330628,random,Random Shuffle
58,0.001159724769673427,random,Random Shuffle
59,0.00114237021848829,random,Random Shuffle
60,0.0011255199412772206,random,Random Shuffle
61,0.0011091526696723182,random,Random Shuffle
62,0.0010932482868220143,random,Random Shuffle
63,0.001077787752964501,random,Random Shuffle
64,0.0011771859326847544,random,Random Shuffle
65,0.0011612896137640836,random,Random Shuffle
66,0.0011458099064059835,random,Random Shuffle
67,0.0012372866042689836,random,Random Shuffle
68,0.0012965191541284024,random,Random Shuffle
69,0.0012802935307119193,random,Random Shuffle
70,0.0012644602888343417,random,Random Shuffle
71,0.001249005774193033,random,Random Shuffle
72,0.001233916932999028,random,Random Shuffle
73,0.0012191812813793035,random,Random Shuffle
74,0.001299901629830931,random,Random Shuffle
75,0.0012849878033654445,random,Random Shuffle
76,0.0013606106962041969,random,Random Shuffle
77,0.0013456038593509137,random,Random Shuffle
78,0.0013309152489997104,random,Random Shuffle
79,0.0013165352451599433,random,Random Shuffle
80,0.0013024545886551647,random,Random Shuffle
81,0.0013506375789951494,random,Random Shuffle
82,0.0013365592348510015,random,Random Shuffle
83,0.0013227638418109651,random,Random Shuffle
84,0.0013092432573972243,random,Random Shuffle
85,0.0012959896320829433,random,Random Shuffle
86,0.0012829953973852513,random,Random Shuffle
