sol_number,avg_hamming,weights,Method
1,0.007366482504604052,random,Solution Pool
2,0.0049109883364027015,random,Solution Pool
3,0.0049109883364027015,random,Solution Pool
4,0.005893186003683241,random,Solution Pool
5,0.006507059545733578,random,Solution Pool
6,0.0072787862843111464,random,Solution Pool
7,0.0074322546698237305,random,Solution Pool
8,0.007519950890116635,random,Solution Pool
9,0.00765295682422754,random,Solution Pool
10,0.00753390256152687,random,Solution Pool
11,0.007673419275629221,random,Solution Pool
12,0.007720640317325398,random,Solution Pool
13,0.007771234290571307,random,Solution Pool
14,0.0077348066298342545,random,Solution Pool
15,0.00767341927562922,random,Solution Pool
16,0.007705015707940636,random,Solution Pool
17,0.007583143754739464,random,Solution Pool
18,0.007581876729884871,random,Solution Pool
19,0.007521566346806241,random,Solution Pool
20,0.007471717968955538,random,Solution Pool
21,0.007541874945189863,random,Solution Pool
22,0.007504786029888119,random,Solution Pool
23,0.007533295967117731,random,Solution Pool
24,0.007495395948434622,random,Solution Pool
25,0.007451480379657174,random,Solution Pool
26,0.007392716416657484,random,Solution Pool
27,0.0074103306147505045,random,Solution Pool
28,0.007393698572970815,random,Solution Pool
29,0.00744268749603099,random,Solution Pool
30,0.00749321768747896,random,Solution Pool
31,0.007522426186657162,random,Solution Pool
32,0.0074920475472961675,random,Solution Pool
33,0.007504357845599314,random,Solution Pool
34,0.007493384093969079,random,Solution Pool
35,0.007500950042386507,random,Solution Pool
36,0.0074743251538831644,random,Solution Pool
37,0.007455550927490446,random,Solution Pool
38,0.0074385567261403265,random,Solution Pool
39,0.007456202483826793,random,Solution Pool
40,0.007476530566410636,random,Solution Pool
41,0.007454178724896957,random,Solution Pool
42,0.007437863149028509,random,Solution Pool
43,0.007459926257305161,random,Solution Pool
44,0.00747809587588593,random,Solution Pool
45,0.007485698525813828,random,Solution Pool
46,0.0074721073693786695,random,Solution Pool
47,0.0074579104789519735,random,Solution Pool
48,0.00744948071309555,random,Solution Pool
49,0.007458187694967489,random,Solution Pool
50,0.007447369371321272,random,Solution Pool
51,0.007431758650478182,random,Solution Pool
52,0.0074159309539274096,random,Solution Pool
53,0.007402517010217069,random,Solution Pool
