sol_number,avg_hamming,weights,Method
1,0.0020898641588296763,random,Solution Pool
2,0.0013932427725531172,random,Solution Pool
3,0.0038314176245210726,random,Solution Pool
4,0.0041797283176593526,random,Solution Pool
5,0.0039010797631487287,random,Solution Pool
6,0.0035826242722794446,random,Solution Pool
7,0.0035826242722794446,random,Solution Pool
8,0.0033670033670033673,random,Solution Pool
9,0.003343782654127482,random,Solution Pool
10,0.003571767835090719,random,Solution Pool
11,0.0036730945821854912,random,Solution Pool
12,0.0035902794523484174,random,Solution Pool
13,0.0037204175135209616,random,Solution Pool
14,0.0037816589540727473,random,Solution Pool
15,0.003796586555207245,random,Solution Pool
16,0.0037801954637654437,random,Solution Pool
17,0.0037699510316143176,random,Solution Pool
18,0.00372753548797106,random,Solution Pool
19,0.003695759775614585,random,Solution Pool
20,0.0036522864109071007,random,Solution Pool
21,0.0037002356751573056,random,Solution Pool
22,0.003651067028469236,random,Solution Pool
23,0.003679978192721821,random,Solution Pool
24,0.003692093347265761,random,Solution Pool
25,0.0036781609195402297,random,Solution Pool
26,0.003685543915428973,random,Solution Pool
27,0.0036544979073714705,random,Solution Pool
28,0.003685573245620808,random,Solution Pool
29,0.003723321202512641,random,Solution Pool
30,0.003716812170649768,random,Solution Pool
31,0.00369096976438467,random,Solution Pool
32,0.0037205914948861656,random,Solution Pool
33,0.0037289733030098143,random,Solution Pool
34,0.0037301440952556574,random,Solution Pool
35,0.003715314060141646,random,Solution Pool
36,0.0037310037310037307,random,Solution Pool
37,0.0037248930170890246,random,Solution Pool
38,0.0037200146093068053,random,Solution Pool
39,0.0037215657905313075,random,Solution Pool
40,0.0037311721079593243,random,Solution Pool
41,0.00372097764864796,random,Solution Pool
42,0.003712228251121595,random,Solution Pool
43,0.003720223301764455,random,Solution Pool
44,0.0037237579557328772,random,Solution Pool
45,0.0037193524449896267,random,Solution Pool
46,0.0037118771368667694,random,Solution Pool
47,0.0037072856221792394,random,Solution Pool
48,0.0037052438530271047,random,Solution Pool
49,0.003696927046680741,random,Solution Pool
50,0.0036863564652611304,random,Solution Pool
51,0.0036816913084661562,random,Solution Pool
52,0.0036913856042027804,random,Solution Pool
53,0.0036919473050464158,random,Solution Pool
54,0.0036871677415042095,random,Solution Pool
55,0.003680332206977975,random,Solution Pool
56,0.0036690472262160103,random,Solution Pool
57,0.0036676926344615187,random,Solution Pool
58,0.003660621206319427,random,Solution Pool
59,0.0036602140634870036,random,Solution Pool
60,0.003647555258634965,random,Solution Pool
61,0.003652565333121142,random,Solution Pool
62,0.003651109324079291,random,Solution Pool
63,0.0036551890000165862,random,Solution Pool
64,0.0036482195964954584,random,Solution Pool
65,0.0036370456433152355,random,Solution Pool
66,0.0036286696091122235,random,Solution Pool
67,0.0036412075708494225,random,Solution Pool
68,0.0036425637448655353,random,Solution Pool
69,0.0036527190949979553,random,Solution Pool
70,0.0036532675677891802,random,Solution Pool
71,0.0036621680623623314,random,Solution Pool
72,0.0036532861284868843,random,Solution Pool
73,0.0036435284427726563,random,Solution Pool
74,0.0036525553766933077,random,Solution Pool
75,0.003652495921098462,random,Solution Pool
76,0.0036533339618639075,random,Solution Pool
77,0.003661263849351624,random,Solution Pool
78,0.0036608233901992086,random,Solution Pool
79,0.0036552782296998794,random,Solution Pool
80,0.0036462969413160987,random,Solution Pool
81,0.0036448338476186342,random,Solution Pool
82,0.0036386850252911637,random,Solution Pool
83,0.0036437734817460618,random,Solution Pool
84,0.003637066111711142,random,Solution Pool
85,0.003629673783926343,random,Solution Pool
86,0.0036328218724590708,random,Solution Pool
87,0.003632148967788358,random,Solution Pool
88,0.0036305786191313293,random,Solution Pool
89,0.0036213875810931218,random,Solution Pool
90,0.0036239622446519,random,Solution Pool
91,0.0036145763282195067,random,Solution Pool
92,0.0036086551054873347,random,Solution Pool
93,0.003614590034489213,random,Solution Pool
94,0.0036166585342165525,random,Solution Pool
95,0.00361097362004803,random,Solution Pool
96,0.0036128257333376424,random,Solution Pool
97,0.003622196705331132,random,Solution Pool
98,0.0036304442932297834,random,Solution Pool
99,0.003631297299008898,random,Solution Pool
1,0.0020898641588296763,random,Random Shuffle
2,0.0034831069313827935,random,Random Shuffle
3,0.003134796238244514,random,Random Shuffle
4,0.002925809822361546,random,Random Shuffle
5,0.0027864855451062345,random,Random Shuffle
6,0.0027864855451062345,random,Random Shuffle
7,0.0034333482609344677,random,Random Shuffle
8,0.0036572622779519333,random,Random Shuffle
9,0.003761755485893417,random,Random Shuffle
10,0.0036477628954117982,random,Random Shuffle
11,0.0037997530160539562,random,Random Shuffle
12,0.0038046244942796666,random,Random Shuffle
13,0.0038352452145555592,random,Random Shuffle
14,0.0038214658904314074,random,Random Shuffle
15,0.0038488331591779866,random,Random Shuffle
16,0.0038262954084455096,random,Random Shuffle
17,0.0037699510316143176,random,Random Shuffle
18,0.003739756915800473,random,Random Shuffle
19,0.003695759775614585,random,Random Shuffle
20,0.003702045081355426,random,Random Shuffle
21,0.0037183297371385145,random,Random Shuffle
22,0.003684108359043619,random,Random Shuffle
23,0.0036875501643117837,random,Random Shuffle
24,0.003692093347265761,random,Random Shuffle
25,0.00365243951450848,random,Random Shuffle
26,0.003608141539176022,random,Random Shuffle
27,0.0036323829427277704,random,Random Shuffle
28,0.0036135089642818537,random,Random Shuffle
29,0.0036128226377929113,random,Random Shuffle
30,0.0035774878933944564,random,Random Shuffle
31,0.0035772069976741836,random,Random Shuffle
32,0.0035978911370760903,random,Random Shuffle
33,0.0036358421016359425,random,Random Shuffle
34,0.0036423346768174355,random,Random Shuffle
35,0.0036655553896933206,random,Random Shuffle
36,0.00368079678424506,random,Random Shuffle
37,0.0036892196601815475,random,Random Shuffle
