sol_number,avg_hamming,weights,Method
1,0.14666666666666667,random,Solution Pool
2,0.13333333333333333,random,Solution Pool
3,0.11333333333333333,random,Solution Pool
4,0.11333333333333333,random,Solution Pool
5,0.10933333333333332,random,Solution Pool
6,0.11365079365079366,random,Solution Pool
7,0.11619047619047618,random,Solution Pool
8,0.1174074074074074,random,Solution Pool
9,0.11585185185185184,random,Solution Pool
10,0.11393939393939394,random,Solution Pool
11,0.11313131313131312,random,Solution Pool
12,0.1135042735042735,random,Solution Pool
13,0.1117948717948718,random,Solution Pool
14,0.11047619047619049,random,Solution Pool
15,0.1098888888888889,random,Solution Pool
16,0.10872549019607843,random,Solution Pool
17,0.10875816993464052,random,Solution Pool
18,0.10947368421052632,random,Solution Pool
19,0.10898245614035088,random,Solution Pool
20,0.10857142857142857,random,Solution Pool
21,0.10776334776334776,random,Solution Pool
22,0.10729907773386034,random,Solution Pool
23,0.10613526570048308,random,Solution Pool
24,0.10591111111111111,random,Solution Pool
25,0.10687179487179486,random,Solution Pool
26,0.10514719848053182,random,Solution Pool
27,0.1054320987654321,random,Solution Pool
28,0.10620689655172413,random,Solution Pool
29,0.10461302681992338,random,Solution Pool
30,0.10374193548387096,random,Solution Pool
31,0.10440860215053764,random,Solution Pool
32,0.10477272727272728,random,Solution Pool
33,0.10421865715983362,random,Solution Pool
34,0.10480672268907562,random,Solution Pool
35,0.10493121693121693,random,Solution Pool
36,0.10512512512512513,random,Solution Pool
37,0.10463726884779516,random,Solution Pool
38,0.10470535312640576,random,Solution Pool
39,0.10495726495726496,random,Solution Pool
40,0.10440650406504065,random,Solution Pool
41,0.10466898954703834,random,Solution Pool
42,0.10508674787744555,random,Solution Pool
43,0.10546863988724453,random,Solution Pool
44,0.10534680134680134,random,Solution Pool
45,0.10510789049919485,random,Solution Pool
46,0.10456984273820537,random,Solution Pool
47,0.10440898345153664,random,Solution Pool
48,0.10470521541950113,random,Solution Pool
49,0.10434829931972789,random,Solution Pool
50,0.10409411764705882,random,Solution Pool
51,0.10455505279034691,random,Solution Pool
52,0.10458635703918723,random,Solution Pool
53,0.10469135802469136,random,Solution Pool
54,0.10546352413019079,random,Solution Pool
55,0.10556709956709956,random,Solution Pool
56,0.10557226399331662,random,Solution Pool
57,0.10577939100625125,random,Solution Pool
58,0.1054821741671537,random,Solution Pool
59,0.10516760828625235,random,Solution Pool
60,0.10525318761384335,random,Solution Pool
61,0.10505200070509431,random,Solution Pool
62,0.10493258235193718,random,Solution Pool
63,0.10537037037037036,random,Solution Pool
64,0.1054551282051282,random,Solution Pool
65,0.10574669774669775,random,Solution Pool
66,0.1057379767827529,random,Solution Pool
67,0.10592917764120574,random,Solution Pool
68,0.10570048309178744,random,Solution Pool
69,0.10560662525879917,random,Solution Pool
70,0.1058296445338699,random,Solution Pool
71,0.10591027647365675,random,Solution Pool
72,0.106078132927448,random,Solution Pool
73,0.1059212637294829,random,Solution Pool
74,0.10575375375375375,random,Solution Pool
75,0.10539415204678364,random,Solution Pool
76,0.10554112554112555,random,Solution Pool
77,0.10553446553446554,random,Solution Pool
78,0.10538136968516715,random,Solution Pool
79,0.10547679324894514,random,Solution Pool
80,0.10583539094650206,random,Solution Pool
81,0.10584362139917695,random,Solution Pool
82,0.10591438926437458,random,Solution Pool
83,0.10609294320137694,random,Solution Pool
84,0.10656209150326798,random,Solution Pool
85,0.1065608755129959,random,Solution Pool
86,0.10639935846030472,random,Solution Pool
87,0.10652037617554859,random,Solution Pool
88,0.10593462717058223,random,Solution Pool
89,0.10577777777777778,random,Solution Pool
90,0.10582336182336183,random,Solution Pool
91,0.10595636247810161,random,Solution Pool
92,0.10597475455820476,random,Solution Pool
93,0.10609624037214978,random,Solution Pool
94,0.10615304217991789,random,Solution Pool
95,0.10655263157894737,random,Solution Pool
96,0.10667525773195877,random,Solution Pool
97,0.10647871519741918,random,Solution Pool
98,0.10664192949907235,random,Solution Pool
99,0.10672323232323232,random,Solution Pool
1,0.10666666666666667,random,Random Shuffle
2,0.11111111111111112,random,Random Shuffle
3,0.10888888888888888,random,Random Shuffle
4,0.10933333333333332,random,Random Shuffle
5,0.10577777777777778,random,Random Shuffle
6,0.1092063492063492,random,Random Shuffle
7,0.10666666666666667,random,Random Shuffle
8,0.10703703703703704,random,Random Shuffle
9,0.10933333333333332,random,Random Shuffle
10,0.11006060606060605,random,Random Shuffle
11,0.10828282828282829,random,Random Shuffle
12,0.10803418803418803,random,Random Shuffle
13,0.10857142857142857,random,Random Shuffle
14,0.10882539682539681,random,Random Shuffle
15,0.1081111111111111,random,Random Shuffle
16,0.10882352941176471,random,Random Shuffle
17,0.10823529411764705,random,Random Shuffle
18,0.10846003898635478,random,Random Shuffle
19,0.10975438596491228,random,Random Shuffle
20,0.11066666666666668,random,Random Shuffle
21,0.11059163059163059,random,Random Shuffle
22,0.11019762845849802,random,Random Shuffle
23,0.10946859903381644,random,Random Shuffle
24,0.10866666666666668,random,Random Shuffle
25,0.10900512820512821,random,Random Shuffle
26,0.10841405508072176,random,Random Shuffle
27,0.10832451499118166,random,Random Shuffle
28,0.10827586206896553,random,Random Shuffle
29,0.10918007662835248,random,Random Shuffle
30,0.10827240143369177,random,Random Shuffle
31,0.1081989247311828,random,Random Shuffle
32,0.10752525252525252,random,Random Shuffle
33,0.10709447415329768,random,Random Shuffle
34,0.10724929971988795,random,Random Shuffle
35,0.107005291005291,random,Random Shuffle
36,0.10714714714714714,random,Random Shuffle
37,0.10733048838311997,random,Random Shuffle
38,0.10695456590193432,random,Random Shuffle
39,0.10668376068376069,random,Random Shuffle
40,0.1066829268292683,random,Random Shuffle
41,0.10692992644212157,random,Random Shuffle
42,0.10737541528239203,random,Random Shuffle
43,0.10755461592670895,random,Random Shuffle
44,0.10774410774410775,random,Random Shuffle
45,0.10828985507246378,random,Random Shuffle
46,0.10806043786617331,random,Random Shuffle
47,0.10819148936170213,random,Random Shuffle
48,0.10812925170068027,random,Random Shuffle
49,0.10833197278911565,random,Random Shuffle
50,0.10766013071895425,random,Random Shuffle
51,0.10740070387129211,random,Random Shuffle
52,0.10745041122399612,random,Random Shuffle
53,0.10762636850687166,random,Random Shuffle
54,0.10725925925925926,random,Random Shuffle
55,0.10733333333333334,random,Random Shuffle
56,0.10704260651629073,random,Random Shuffle
57,0.1071828997781811,random,Random Shuffle
58,0.10717319306448471,random,Random Shuffle
59,0.1072241054613936,random,Random Shuffle
60,0.107264116575592,random,Random Shuffle
61,0.1073012515423938,random,Random Shuffle
62,0.10750640040962622,random,Random Shuffle
63,0.10714285714285715,random,Random Shuffle
64,0.10671153846153847,random,Random Shuffle
65,0.10688422688422689,random,Random Shuffle
66,0.1067088798432082,random,Random Shuffle
67,0.10626280362891424,random,Random Shuffle
68,0.10639954532537653,random,Random Shuffle
69,0.10639613526570049,random,Random Shuffle
70,0.10663983903420524,random,Random Shuffle
71,0.10711006781429316,random,Random Shuffle
72,0.10726027397260275,random,Random Shuffle
73,0.10698259903739356,random,Random Shuffle
74,0.10689249249249248,random,Random Shuffle
75,0.10697543859649122,random,Random Shuffle
76,0.10674413305992253,random,Random Shuffle
77,0.10665334665334665,random,Random Shuffle
78,0.10667532186519528,random,Random Shuffle
79,0.10662025316455696,random,Random Shuffle
80,0.1065761316872428,random,Random Shuffle
81,0.10652213188798555,random,Random Shuffle
82,0.10645900675874229,random,Random Shuffle
83,0.10659017020462803,random,Random Shuffle
84,0.10675256769374417,random,Random Shuffle
85,0.10668490652074783,random,Random Shuffle
86,0.1069161543259378,random,Random Shuffle
87,0.10738070358760014,random,Random Shuffle
88,0.10739530132788559,random,Random Shuffle
89,0.10732251352476072,random,Random Shuffle
90,0.10696947496947497,random,Random Shuffle
91,0.10709348622392101,random,Random Shuffle
92,0.10711547452080412,random,Random Shuffle
93,0.1071638831693739,random,Random Shuffle
94,0.10715938783128033,random,Random Shuffle
95,0.10714035087719298,random,Random Shuffle
96,0.10693871706758304,random,Random Shuffle
97,0.10696963321411038,random,Random Shuffle
98,0.10677386105957533,random,Random Shuffle
99,0.10672323232323232,random,Random Shuffle
1,0.16,random,Greedy
2,0.14666666666666667,random,Greedy
3,0.14444444444444446,random,Greedy
4,0.14,random,Greedy
5,0.13777777777777778,random,Greedy
6,0.13523809523809524,random,Greedy
7,0.13333333333333333,random,Greedy
8,0.1325925925925926,random,Greedy
9,0.13125925925925927,random,Greedy
10,0.13018181818181818,random,Greedy
11,0.1288888888888889,random,Greedy
12,0.1282051282051282,random,Greedy
13,0.12776556776556777,random,Greedy
14,0.12711111111111112,random,Greedy
15,0.12677777777777777,random,Greedy
16,0.12598039215686274,random,Greedy
17,0.12531590413943355,random,Greedy
18,0.12475633528265107,random,Greedy
19,0.12428070175438596,random,Greedy
20,0.12387301587301588,random,Greedy
21,0.12346320346320347,random,Greedy
22,0.12310935441370224,random,Greedy
23,0.12280193236714977,random,Greedy
24,0.1224888888888889,random,Greedy
25,0.1220923076923077,random,Greedy
26,0.1217094017094017,random,Greedy
27,0.12137566137566137,random,Greedy
28,0.12111658456486042,random,Greedy
29,0.12082758620689656,random,Greedy
30,0.1206021505376344,random,Greedy
31,0.12037634408602149,random,Greedy
32,0.12012626262626264,random,Greedy
33,0.11992869875222816,random,Greedy
34,0.11968627450980392,random,Greedy
35,0.11944973544973546,random,Greedy
36,0.11923923923923925,random,Greedy
37,0.11899478425794215,random,Greedy
38,0.11879442195231668,random,Greedy
39,0.11858119658119658,random,Greedy
40,0.11835772357723577,random,Greedy
41,0.1181571815718157,random,Greedy
42,0.11796234772978959,random,Greedy
43,0.11775898520084567,random,Greedy
44,0.11757575757575758,random,Greedy
45,0.11738486312399354,random,Greedy
46,0.1171754548257786,random,Greedy
47,0.11698581560283687,random,Greedy
48,0.11680272108843537,random,Greedy
49,0.11660408163265307,random,Greedy
50,0.11642352941176472,random,Greedy
51,0.11625942684766213,random,Greedy
52,0.11609095307208515,random,Greedy
53,0.11592825529932448,random,Greedy
54,0.11578002244668911,random,Greedy
55,0.11561904761904761,random,Greedy
56,0.11543859649122806,random,Greedy
57,0.11528130671506351,random,Greedy
58,0.11513734658094682,random,Greedy
59,0.11498305084745764,random,Greedy
60,0.1148415300546448,random,Greedy
61,0.11468358893001938,random,Greedy
62,0.11453831711896229,random,Greedy
63,0.11439814814814814,random,Greedy
64,0.11426282051282051,random,Greedy
65,0.11413830613830614,random,Greedy
66,0.11400572893110206,random,Greedy
67,0.11387181738366989,random,Greedy
68,0.11373685706166524,random,Greedy
69,0.11359558316080054,random,Greedy
70,0.11347015425888667,random,Greedy
71,0.11333854981742306,random,Greedy
72,0.11320649416539827,random,Greedy
73,0.11305936073059361,random,Greedy
74,0.11291291291291292,random,Greedy
75,0.11275789473684211,random,Greedy
76,0.11260423786739578,random,Greedy
77,0.11244311244311243,random,Greedy
78,0.1122795629124743,random,Greedy
79,0.11210126582278482,random,Greedy
80,0.11189711934156378,random,Greedy
81,0.11168523537087223,random,Greedy
82,0.11146635321774905,random,Greedy
83,0.11122585580416905,random,Greedy
84,0.11098786181139123,random,Greedy
85,0.11074145006839946,random,Greedy
86,0.11050164840060589,random,Greedy
87,0.11026819923371647,random,Greedy
88,0.1100374531835206,random,Greedy
89,0.10980940491052851,random,Greedy
90,0.10957427757427757,random,Greedy
91,0.10934543717152413,random,Greedy
92,0.10909770920991117,random,Greedy
93,0.10885685960497217,random,Greedy
94,0.10860768943635686,random,Greedy
95,0.10828654970760233,random,Greedy
96,0.1079667812142039,random,Greedy
97,0.10762045024195245,random,Greedy
98,0.10726585583728442,random,Greedy
99,0.10672323232323232,random,Greedy
1,0.05333333333333334,uniform,Solution Pool
2,0.07111111111111111,uniform,Solution Pool
3,0.06222222222222223,uniform,Solution Pool
4,0.05866666666666667,uniform,Solution Pool
5,0.05333333333333334,uniform,Solution Pool
6,0.04825396825396826,uniform,Solution Pool
7,0.043809523809523805,uniform,Solution Pool
8,0.04,uniform,Solution Pool
9,0.04207407407407407,uniform,Solution Pool
10,0.04703030303030303,uniform,Solution Pool
11,0.05656565656565656,uniform,Solution Pool
12,0.053675213675213676,uniform,Solution Pool
13,0.05098901098901099,uniform,Solution Pool
14,0.05117460317460318,uniform,Solution Pool
15,0.051111111111111114,uniform,Solution Pool
16,0.049215686274509805,uniform,Solution Pool
17,0.047407407407407405,uniform,Solution Pool
18,0.04748538011695906,uniform,Solution Pool
19,0.04596491228070175,uniform,Solution Pool
20,0.04634920634920635,uniform,Solution Pool
21,0.04502164502164502,uniform,Solution Pool
22,0.043741765480895915,uniform,Solution Pool
23,0.042512077294685986,uniform,Solution Pool
24,0.043555555555555556,uniform,Solution Pool
25,0.04242051282051282,uniform,Solution Pool
26,0.04132953466286799,uniform,Solution Pool
27,0.0417989417989418,uniform,Solution Pool
28,0.0425944170771757,uniform,Solution Pool
29,0.04285057471264368,uniform,Solution Pool
30,0.04298207885304659,uniform,Solution Pool
31,0.04217741935483871,uniform,Solution Pool
32,0.042272727272727274,uniform,Solution Pool
33,0.042828282828282827,uniform,Solution Pool
34,0.04398879551820728,uniform,Solution Pool
35,0.04397883597883598,uniform,Solution Pool
36,0.043903903903903904,uniform,Solution Pool
37,0.045026078710289234,uniform,Solution Pool
38,0.044822312190733245,uniform,Solution Pool
39,0.044290598290598296,uniform,Solution Pool
40,0.04375609756097561,uniform,Solution Pool
41,0.043608207510646535,uniform,Solution Pool
42,0.043942414174972314,uniform,Solution Pool
43,0.04376321353065539,uniform,Solution Pool
44,0.04332659932659933,uniform,Solution Pool
45,0.04315619967793881,uniform,Solution Pool
46,0.042750539623805116,uniform,Solution Pool
47,0.0425886524822695,uniform,Solution Pool
48,0.04240362811791383,uniform,Solution Pool
49,0.042057142857142855,uniform,Solution Pool
50,0.04188235294117647,uniform,Solution Pool
51,0.04155857214680744,uniform,Solution Pool
52,0.04293178519593614,uniform,Solution Pool
53,0.04258094572559981,uniform,Solution Pool
54,0.04287317620650954,uniform,Solution Pool
55,0.04252813852813853,uniform,Solution Pool
56,0.04218045112781955,uniform,Solution Pool
57,0.04304900181488203,uniform,Solution Pool
58,0.042930060393532046,uniform,Solution Pool
59,0.04260640301318267,uniform,Solution Pool
60,0.04228051001821494,uniform,Solution Pool
61,0.04195311122862683,uniform,Solution Pool
62,0.04240314046765659,uniform,Solution Pool
63,0.04232142857142857,uniform,Solution Pool
64,0.04266666666666667,uniform,Solution Pool
65,0.0428966588966589,uniform,Solution Pool
66,0.04279813055932459,uniform,Solution Pool
67,0.042516827626573016,uniform,Solution Pool
68,0.042881500426257456,uniform,Solution Pool
69,0.04260041407867495,uniform,Solution Pool
70,0.042317907444668006,uniform,Solution Pool
71,0.04300991131977048,uniform,Solution Pool
72,0.04272957889396246,uniform,Solution Pool
73,0.042922374429223746,uniform,Solution Pool
74,0.043089489489489485,uniform,Solution Pool
75,0.04392514619883041,uniform,Solution Pool
76,0.0438505354294828,uniform,Solution Pool
77,0.04468864468864469,uniform,Solution Pool
78,0.04442713404738721,uniform,Solution Pool
