sol_number,avg_hamming,weights,Method
1,0.15151515151515152,random,Solution Pool
2,0.1414141414141414,random,Solution Pool
3,0.1313131313131313,random,Solution Pool
4,0.12727272727272726,random,Solution Pool
5,0.1292929292929293,random,Solution Pool
6,0.12698412698412695,random,Solution Pool
7,0.1212121212121212,random,Solution Pool
8,0.11784511784511784,random,Solution Pool
9,0.11245791245791245,random,Solution Pool
10,0.11349862258953167,random,Solution Pool
11,0.11248852157943066,random,Solution Pool
12,0.11499611499611505,random,Solution Pool
13,0.11555111555111555,random,Solution Pool
14,0.1137085137085137,random,Solution Pool
15,0.11237373737373738,random,Solution Pool
16,0.11229946524064172,random,Solution Pool
17,0.11150722915428798,random,Solution Pool
18,0.1134148502569555,random,Solution Pool
19,0.11244019138755978,random,Solution Pool
20,0.11139971139971139,random,Solution Pool
21,0.11268529450347632,random,Solution Pool
22,0.11450473110552162,random,Solution Pool
23,0.11374615722441811,random,Solution Pool
24,0.11434343434343434,random,Solution Pool
25,0.1144988344988345,random,Solution Pool
26,0.11551411551411551,random,Solution Pool
27,0.1157607824274491,random,Solution Pool
28,0.11568890879235709,random,Solution Pool
29,0.11536050156739813,random,Solution Pool
30,0.11404366243075921,random,Solution Pool
31,0.11326979472140762,random,Solution Pool
32,0.11283287419651056,random,Solution Pool
33,0.1127856101118133,random,Solution Pool
34,0.11296154825566591,random,Solution Pool
35,0.11375661375661379,random,Solution Pool
36,0.11365911365911364,random,Solution Pool
37,0.11431527221000906,random,Solution Pool
38,0.1147507463296937,random,Solution Pool
39,0.11456876456876457,random,Solution Pool
40,0.11374722838137473,random,Solution Pool
41,0.11378594305423574,random,Solution Pool
42,0.11369509043927647,random,Solution Pool
43,0.11416490486257928,random,Solution Pool
44,0.1140495867768595,random,Solution Pool
45,0.11389254867515737,random,Solution Pool
46,0.11319485325035743,random,Solution Pool
47,0.1130990758650333,random,Solution Pool
48,0.11239950525664812,random,Solution Pool
49,0.1123809523809524,random,Solution Pool
50,0.11284610814022579,random,Solution Pool
51,0.11271081859317152,random,Solution Pool
52,0.11259181070501825,random,Solution Pool
53,0.1119581559833132,random,Solution Pool
54,0.1122742577288032,random,Solution Pool
55,0.1121212121212121,random,Solution Pool
56,0.11232627022100707,random,Solution Pool
57,0.1121193789070377,random,Solution Pool
58,0.11193170748986063,random,Solution Pool
59,0.11213833247731554,random,Solution Pool
60,0.11160788209968538,random,Solution Pool
61,0.11143695014662756,random,Solution Pool
62,0.11159211159211159,random,Solution Pool
63,0.11208814333814332,random,Solution Pool
64,0.11191724941724943,random,Solution Pool
65,0.11145016599562055,random,Solution Pool
66,0.1112892836095007,random,Solution Pool
67,0.1107962859499295,random,Solution Pool
68,0.11028442997752462,random,Solution Pool
69,0.11043352782483216,random,Solution Pool
70,0.10994451557831841,random,Solution Pool
71,0.11003224735619102,random,Solution Pool
72,0.11009639776763064,random,Solution Pool
73,0.10960026028519178,random,Solution Pool
74,0.10996450996450996,random,Solution Pool
75,0.11027113237639553,random,Solution Pool
76,0.11052424449553636,random,Solution Pool
77,0.11096983824256552,random,Solution Pool
78,0.11084555388352857,random,Solution Pool
79,0.11073072497123129,random,Solution Pool
80,0.11083052749719417,random,Solution Pool
81,0.11102898907776958,random,Solution Pool
82,0.11061541064479648,random,Solution Pool
83,0.1107460143604722,random,Solution Pool
84,0.11060181648416943,random,Solution Pool
85,0.11018530033577914,random,Solution Pool
86,0.11008237952905155,random,Solution Pool
87,0.1102799151388493,random,Solution Pool
88,0.11009997833286903,random,Solution Pool
89,0.11025611924488331,random,Solution Pool
90,0.10987530987530986,random,Solution Pool
91,0.11001317523056653,random,Solution Pool
92,0.10987858954198365,random,Solution Pool
93,0.1099810736049583,random,Solution Pool
94,0.10968814686619838,random,Solution Pool
95,0.10948963317384369,random,Solution Pool
96,0.10944496511506821,random,Solution Pool
97,0.10962773112994025,random,Solution Pool
98,0.11006790227569449,random,Solution Pool
99,0.11014998469543924,random,Solution Pool
1,0.12121212121212122,random,Random Shuffle
2,0.12121212121212122,random,Random Shuffle
3,0.13636363636363638,random,Random Shuffle
4,0.12727272727272726,random,Random Shuffle
5,0.11919191919191921,random,Random Shuffle
6,0.11255411255411255,random,Random Shuffle
7,0.10930735930735931,random,Random Shuffle
8,0.10606060606060605,random,Random Shuffle
9,0.10909090909090907,random,Random Shuffle
10,0.10909090909090909,random,Random Shuffle
11,0.10835629017447199,random,Random Shuffle
12,0.10334110334110334,random,Random Shuffle
13,0.10822510822510825,random,Random Shuffle
14,0.10562770562770564,random,Random Shuffle
15,0.10959595959595961,random,Random Shuffle
16,0.10962566844919786,random,Random Shuffle
17,0.10695187165775398,random,Random Shuffle
18,0.1091617933723197,random,Random Shuffle
19,0.10956937799043064,random,Random Shuffle
20,0.10909090909090907,random,Random Shuffle
21,0.10822510822510822,random,Random Shuffle
22,0.10612049347227212,random,Random Shuffle
23,0.10551163812033376,random,Random Shuffle
24,0.10686868686868688,random,Random Shuffle
25,0.1051748251748252,random,Random Shuffle
26,0.10619010619010619,random,Random Shuffle
27,0.10734327400994068,random,Random Shuffle
28,0.10956859232721301,random,Random Shuffle
29,0.11013584117032393,random,Random Shuffle
30,0.10896057347670252,random,Random Shuffle
31,0.10771016617790811,random,Random Shuffle
32,0.10835629017447199,random,Random Shuffle
33,0.10986874088478367,random,Random Shuffle
34,0.10868347338935573,random,Random Shuffle
35,0.10841750841750843,random,Random Shuffle
36,0.10728910728910729,random,Random Shuffle
37,0.10866847708952973,random,Random Shuffle
38,0.1075532654480023,random,Random Shuffle
39,0.10742035742035741,random,Random Shuffle
40,0.10805617147080561,random,Random Shuffle
41,0.10847147432513284,random,Random Shuffle
42,0.10872848082150409,random,Random Shuffle
43,0.10932795182266641,random,Random Shuffle
44,0.10976430976430977,random,Random Shuffle
45,0.11008637095593617,random,Random Shuffle
46,0.10927031648585765,random,Random Shuffle
47,0.10906941758005588,random,Random Shuffle
48,0.10930735930735933,random,Random Shuffle
49,0.10909090909090909,random,Random Shuffle
50,0.10880570409982177,random,Random Shuffle
51,0.10921431509666803,random,Random Shuffle
52,0.10951312838105291,random,Random Shuffle
53,0.10971348707197764,random,Random Shuffle
54,0.11011121314151619,random,Random Shuffle
55,0.10977961432506887,random,Random Shuffle
56,0.10940229361281995,random,Random Shuffle
57,0.10979119690553446,random,Random Shuffle
58,0.10998352903671431,random,Random Shuffle
59,0.10992980653997603,random,Random Shuffle
60,0.10958768007948337,random,Random Shuffle
61,0.10920949313334294,random,Random Shuffle
62,0.1086750764170119,random,Random Shuffle
63,0.10864598364598364,random,Random Shuffle
64,0.1081002331002331,random,Random Shuffle
65,0.10855407219043584,random,Random Shuffle
66,0.10931568055041598,random,Random Shuffle
67,0.10888073003964137,random,Random Shuffle
68,0.10842439742695498,random,Random Shuffle
69,0.10833803877282137,random,Random Shuffle
70,0.10850557892811413,random,Random Shuffle
71,0.10836060131834781,random,Random Shuffle
72,0.10845901941792352,random,Random Shuffle
73,0.10825395756902606,random,Random Shuffle
74,0.10887250887250888,random,Random Shuffle
75,0.10942052099946838,random,Random Shuffle
76,0.1096957269206073,random,Random Shuffle
77,0.10992038264765538,random,Random Shuffle
78,0.109566945009983,random,Random Shuffle
79,0.10948408131952436,random,Random Shuffle
80,0.10905349794238682,random,Random Shuffle
81,0.10888469154051811,random,Random Shuffle
82,0.1086919741048451,random,Random Shuffle
83,0.10879883169039795,random,Random Shuffle
84,0.1085816144639674,random,Random Shuffle
85,0.10880902043692742,random,Random Shuffle
86,0.10889974322211692,random,Random Shuffle
87,0.10866502010702639,random,Random Shuffle
88,0.10918686352802799,random,Random Shuffle
89,0.10951462187417244,random,Random Shuffle
90,0.10957930957930959,random,Random Shuffle
91,0.10947747904269643,random,Random Shuffle
92,0.10977942113986995,random,Random Shuffle
93,0.10965523456944185,random,Random Shuffle
94,0.10951169025077201,random,Random Shuffle
95,0.10977538543328018,random,Random Shuffle
96,0.10983546808289076,random,Random Shuffle
97,0.10975524230310682,random,Random Shuffle
98,0.10996795412379828,random,Random Shuffle
99,0.11014998469543924,random,Random Shuffle
1,0.21212121212121213,random,Greedy
2,0.16161616161616163,random,Greedy
3,0.1414141414141414,random,Greedy
4,0.13939393939393938,random,Greedy
5,0.13333333333333333,random,Greedy
6,0.1327561327561327,random,Greedy
7,0.12878787878787876,random,Greedy
8,0.12794612794612792,random,Greedy
9,0.1265993265993266,random,Greedy
10,0.12561983471074378,random,Greedy
11,0.12442607897153353,random,Greedy
12,0.12432012432012438,random,Greedy
13,0.12321012321012324,random,Greedy
14,0.12294372294372295,random,Greedy
15,0.12222222222222222,random,Greedy
16,0.12210338680926916,random,Greedy
17,0.12141018023370966,random,Greedy
18,0.1212121212121212,random,Greedy
19,0.12089314194577355,random,Greedy
20,0.12063492063492065,random,Greedy
21,0.12029384756657484,random,Greedy
22,0.12025392262546415,random,Greedy
23,0.11989459815546773,random,Greedy
24,0.11979797979797982,random,Greedy
25,0.11953379953379954,random,Greedy
26,0.11948545281878617,random,Greedy
27,0.11920795254128588,random,Greedy
28,0.11912225705329153,random,Greedy
29,0.11898293277603622,random,Greedy
30,0.11886608015640274,random,Greedy
31,0.11870723362658846,random,Greedy
32,0.11868686868686869,random,Greedy
33,0.11851131637227894,random,Greedy
34,0.1184619302266361,random,Greedy
35,0.11832611832611835,random,Greedy
36,0.11830011830011831,random,Greedy
37,0.11815164446743394,random,Greedy
38,0.11810411810411811,random,Greedy
39,0.11802641802641803,random,Greedy
40,0.117960088691796,random,Greedy
41,0.11786858128321542,random,Greedy
42,0.11785630390281551,random,Greedy
43,0.11775257864052789,random,Greedy
44,0.117722681359045,random,Greedy
45,0.11764016981408285,random,Greedy
46,0.11762397331315,random,Greedy
47,0.11753169997850847,random,Greedy
48,0.11750154607297465,random,Greedy
49,0.11745207173778602,random,Greedy
50,0.11740938799762328,random,Greedy
51,0.11734997029114677,random,Greedy
52,0.1173417777191362,random,Greedy
53,0.11727336255638142,random,Greedy
54,0.11725334149576574,random,Greedy
55,0.11719795356158993,random,Greedy
56,0.11714893293840663,random,Greedy
57,0.11712405360318247,random,Greedy
58,0.11710323574730355,random,Greedy
59,0.11706899503509671,random,Greedy
60,0.11703924490809738,random,Greedy
61,0.11699758024453953,random,Greedy
62,0.11692966531676208,random,Greedy
63,0.11685305435305435,random,Greedy
64,0.11675407925407927,random,Greedy
65,0.11666313484495303,random,Greedy
66,0.11655222510039337,random,Greedy
67,0.11643653390800011,random,Greedy
68,0.11630370198145135,random,Greedy
69,0.11619298575820315,random,Greedy
70,0.11604170477409914,random,Greedy
71,0.11591264760278847,random,Greedy
72,0.11576956782436235,random,Greedy
73,0.11561374575073205,random,Greedy
74,0.11546819546819548,random,Greedy
75,0.11532163742690058,random,Greedy
76,0.1151639429151391,random,Greedy
77,0.11500620591529682,random,Greedy
78,0.11483874775014015,random,Greedy
79,0.11467203682393556,random,Greedy
80,0.11451552562663674,random,Greedy
81,0.11435036909291652,random,Greedy
82,0.1141951397608171,random,Greedy
83,0.11402319233644535,random,Greedy
84,0.11384432560903147,random,Greedy
85,0.11365916345396508,random,Greedy
86,0.11346828347630272,random,Greedy
87,0.1132722206389918,random,Greedy
88,0.11307147057913144,random,Greedy
89,0.11285136004237128,random,Greedy
90,0.1126281126281126,random,Greedy
91,0.1123876123876124,random,Greedy
92,0.11214529587601116,random,Greedy
93,0.11188757860000137,random,Greedy
94,0.11162916963588856,random,Greedy
95,0.11135699096225413,random,Greedy
96,0.11107206081432885,random,Greedy
97,0.1107753316884392,random,Greedy
98,0.1104676948832793,random,Greedy
99,0.11014998469543924,random,Greedy
1,0.0,uniform,Solution Pool
2,0.0,uniform,Solution Pool
3,0.04545454545454545,uniform,Solution Pool
4,0.05454545454545455,uniform,Solution Pool
5,0.04848484848484849,uniform,Solution Pool
6,0.051948051948051945,uniform,Solution Pool
7,0.05194805194805195,uniform,Solution Pool
8,0.050505050505050504,uniform,Solution Pool
9,0.04848484848484848,uniform,Solution Pool
10,0.052892561983471066,uniform,Solution Pool
11,0.05371900826446282,uniform,Solution Pool
12,0.05361305361305361,uniform,Solution Pool
13,0.052614052614052616,uniform,Solution Pool
14,0.05252525252525254,uniform,Solution Pool
15,0.052020202020202036,uniform,Solution Pool
16,0.05169340463458111,uniform,Solution Pool
17,0.05109922756981581,uniform,Solution Pool
18,0.05032783980152402,uniform,Solution Pool
19,0.04944178628389155,uniform,Solution Pool
20,0.04848484848484849,uniform,Solution Pool
21,0.04748786566968386,uniform,Solution Pool
