sol_number,avg_hamming,weights,Method
1,0.2,random,Solution Pool
2,0.20000000000000004,random,Solution Pool
3,0.19999999999999998,random,Solution Pool
4,0.2,random,Solution Pool
5,0.20000000000000007,random,Solution Pool
6,0.19047619047619052,random,Solution Pool
7,0.1928571428571429,random,Solution Pool
8,0.19444444444444448,random,Solution Pool
9,0.18666666666666665,random,Solution Pool
10,0.18545454545454537,random,Solution Pool
11,0.18484848484848485,random,Solution Pool
12,0.17948717948717943,random,Solution Pool
13,0.1824175824175824,random,Solution Pool
14,0.18285714285714286,random,Solution Pool
15,0.18333333333333332,random,Solution Pool
16,0.18382352941176472,random,Solution Pool
17,0.1830065359477124,random,Solution Pool
18,0.18362573099415203,random,Solution Pool
19,0.1831578947368421,random,Solution Pool
20,0.18095238095238095,random,Solution Pool
21,0.18095238095238095,random,Solution Pool
22,0.18260869565217389,random,Solution Pool
23,0.18188405797101448,random,Solution Pool
24,0.18133333333333332,random,Solution Pool
25,0.18153846153846148,random,Solution Pool
26,0.1823361823361823,random,Solution Pool
27,0.1825396825396825,random,Solution Pool
28,0.18275862068965515,random,Solution Pool
29,0.1825287356321839,random,Solution Pool
30,0.18193548387096772,random,Solution Pool
31,0.18266129032258066,random,Solution Pool
32,0.18257575757575759,random,Solution Pool
33,0.1825311942959002,random,Solution Pool
34,0.1818487394957983,random,Solution Pool
35,0.18158730158730155,random,Solution Pool
36,0.18078078078078078,random,Solution Pool
37,0.17980085348506397,random,Solution Pool
38,0.17948717948717946,random,Solution Pool
39,0.17999999999999997,random,Solution Pool
40,0.18073170731707316,random,Solution Pool
41,0.18118466898954705,random,Solution Pool
42,0.18139534883720929,random,Solution Pool
43,0.18118393234672306,random,Solution Pool
44,0.18161616161616162,random,Solution Pool
45,0.1816425120772947,random,Solution Pool
46,0.18131359851988899,random,Solution Pool
47,0.18138297872340425,random,Solution Pool
48,0.18112244897959184,random,Solution Pool
49,0.1813877551020408,random,Solution Pool
50,0.18149019607843137,random,Solution Pool
51,0.18144796380090494,random,Solution Pool
52,0.18171262699564586,random,Solution Pool
53,0.1819706498951782,random,Solution Pool
54,0.18168350168350164,random,Solution Pool
55,0.18181818181818182,random,Solution Pool
56,0.1819548872180451,random,Solution Pool
57,0.18197217180883243,random,Solution Pool
58,0.18164815897136175,random,Solution Pool
59,0.18180790960451976,random,Solution Pool
60,0.18185792349726773,random,Solution Pool
61,0.18180856689582237,random,Solution Pool
62,0.18187403993855608,random,Solution Pool
63,0.18154761904761904,random,Solution Pool
64,0.18115384615384617,random,Solution Pool
65,0.18116550116550115,random,Solution Pool
66,0.18109452736318407,random,Solution Pool
67,0.18121158911325724,random,Solution Pool
68,0.1808184143222506,random,Solution Pool
69,0.18078674948240162,random,Solution Pool
70,0.1808450704225352,random,Solution Pool
71,0.18082942097026602,random,Solution Pool
72,0.1808980213089802,random,Solution Pool
73,0.18082191780821916,random,Solution Pool
74,0.18075675675675673,random,Solution Pool
75,0.18070175438596492,random,Solution Pool
76,0.18058783321941216,random,Solution Pool
77,0.18061938061938057,random,Solution Pool
78,0.18065563128854265,random,Solution Pool
79,0.18050632911392403,random,Solution Pool
80,0.1804938271604938,random,Solution Pool
81,0.1804275820535983,random,Solution Pool
82,0.18037026153394062,random,Solution Pool
83,0.18060814687320711,random,Solution Pool
84,0.1804481792717087,random,Solution Pool
85,0.18041039671682627,random,Solution Pool
86,0.18032611601176157,random,Solution Pool
87,0.18019853709508882,random,Solution Pool
88,0.18013278855975487,random,Solution Pool
89,0.1799750312109863,random,Solution Pool
90,0.1797802197802198,random,Solution Pool
91,0.17983755375059723,random,Solution Pool
92,0.18003740065451143,random,Solution Pool
93,0.17991306337222604,random,Solution Pool
94,0.18006718924972004,random,Solution Pool
95,0.18013157894736842,random,Solution Pool
96,0.18015463917525773,random,Solution Pool
97,0.1803071744161582,random,Solution Pool
98,0.18012780869923725,random,Solution Pool
99,0.18016161616161616,random,Solution Pool
1,0.2,random,Random Shuffle
2,0.13333333333333333,random,Random Shuffle
3,0.16666666666666666,random,Random Shuffle
4,0.16,random,Random Shuffle
5,0.17333333333333337,random,Random Shuffle
6,0.16190476190476194,random,Random Shuffle
7,0.17142857142857146,random,Random Shuffle
8,0.1777777777777778,random,Random Shuffle
