sol_number,avg_hamming,weights,Method
1,0.0,random,Solution Pool
2,0.0,random,Solution Pool
3,0.00211864406779661,random,Solution Pool
4,0.002542372881355932,random,Solution Pool
5,0.0025423728813559325,random,Solution Pool
6,0.002421307506053269,random,Solution Pool
7,0.0024213075060532693,random,Solution Pool
8,0.0023540489642184556,random,Solution Pool
9,0.0022598870056497176,random,Solution Pool
10,0.0023112480739599386,random,Solution Pool
11,0.002311248073959938,random,Solution Pool
12,0.0022816166883963492,random,Solution Pool
13,0.0022816166883963492,random,Solution Pool
14,0.0022598870056497176,random,Solution Pool
15,0.0022598870056497176,random,Solution Pool
16,0.0022432701894317046,random,Solution Pool
17,0.0022432701894317046,random,Solution Pool
18,0.0022301516503122213,random,Solution Pool
19,0.0022301516503122213,random,Solution Pool
20,0.0022195318805488294,random,Solution Pool
21,0.002201188641866608,random,Solution Pool
22,0.0021772626783680576,random,Solution Pool
23,0.0021954065340211246,random,Solution Pool
24,0.0021751412429378532,random,Solution Pool
25,0.002190352020860495,random,Solution Pool
26,0.002197112366603892,random,Solution Pool
27,0.002197112366603892,random,Solution Pool
28,0.0021917007597895962,random,Solution Pool
29,0.0021917007597895967,random,Solution Pool
30,0.002186987424822307,random,Solution Pool
31,0.002178444505194095,random,Solution Pool
32,0.002182845403184386,random,Solution Pool
33,0.002175292304903471,random,Solution Pool
34,0.0021791767554479417,random,Solution Pool
35,0.0021791767554479417,random,Solution Pool
36,0.002175904718277599,random,Solution Pool
37,0.0021759047182775995,random,Solution Pool
38,0.0021729682746631897,random,Solution Pool
39,0.002167535853976532,random,Solution Pool
40,0.0021599834642414216,random,Solution Pool
41,0.0021653969566330046,random,Solution Pool
42,0.0021585299472567897,random,Solution Pool
43,0.0021634356971369185,random,Solution Pool
44,0.0021657250470809787,random,Solution Pool
45,0.0021657250470809796,random,Solution Pool
46,0.0021637216011539846,random,Solution Pool
47,0.0021599651400408698,random,Solution Pool
48,0.0021618817018332756,random,Solution Pool
49,0.0021584226911103427,random,Solution Pool
50,0.0021601861083416414,random,Solution Pool
51,0.0021569905667612544,random,Solution Pool
52,0.0021586184841701312,random,Solution Pool
53,0.0021586184841701312,random,Solution Pool
54,0.0021571648690292757,random,Solution Pool
55,0.0021571648690292757,random,Solution Pool
56,0.0021558132619684802,random,Solution Pool
57,0.0021558132619684802,random,Solution Pool
58,0.0021545532892846882,random,Solution Pool
59,0.002152159341185483,random,Solution Pool
60,0.0021487450217653054,random,Solution Pool
61,0.0021511351719563677,random,Solution Pool
62,0.0021522733387140166,random,Solution Pool
63,0.002150171509281679,random,Solution Pool
64,0.002151238591916558,random,Solution Pool
65,0.002151238591916558,random,Solution Pool
66,0.0021502656210473058,random,Solution Pool
67,0.0021484055296796174,random,Solution Pool
68,0.002145736702934674,random,Solution Pool
69,0.0021475944836298554,random,Solution Pool
70,0.0021450738328274736,random,Solution Pool
71,0.002146826344128803,random,Solution Pool
72,0.0021444418646647573,random,Solution Pool
73,0.0021460978043285916,random,Solution Pool
74,0.0021438387540082455,random,Solution Pool
75,0.0021409455842997323,random,Solution Pool
76,0.0021374700232862586,random,Solution Pool
77,0.0021334597605784044,random,Solution Pool
78,0.0021372105688775935,random,Solution Pool
79,0.002140098691267968,random,Solution Pool
80,0.0021421845574387944,random,Solution Pool
81,0.00213969653820832,random,Solution Pool
82,0.0021366989246776272,random,Solution Pool
83,0.0021332302575921116,random,Solution Pool
84,0.002129326306793904,random,Solution Pool
85,0.0021250202879732893,random,Solution Pool
86,0.0021203430606336563,random,Solution Pool
87,0.0021153233090696563,random,Solution Pool
88,0.0021099877079690447,random,Solution Pool
89,0.0021043610740811274,random,Solution Pool
90,0.0021108834668156704,random,Solution Pool
91,0.0021166195631928866,random,Solution Pool
92,0.0021216155181020754,random,Solution Pool
93,0.0021259146376929605,random,Solution Pool
94,0.002129557575872606,random,Solution Pool
95,0.0021325825156110613,random,Solution Pool
96,0.0021350253363620476,random,Solution Pool
97,0.00213691976878118,random,Solution Pool
98,0.002138297537813276,random,Solution Pool
99,0.0021366204417051877,random,Solution Pool
1,0.0,random,Random Shuffle
2,0.0,random,Random Shuffle
3,0.00211864406779661,random,Random Shuffle
4,0.001694915254237288,random,Random Shuffle
5,0.0022598870056497176,random,Random Shuffle
6,0.002421307506053269,random,Random Shuffle
7,0.002421307506053269,random,Random Shuffle
8,0.002354048964218456,random,Random Shuffle
9,0.002259887005649717,random,Random Shuffle
10,0.0023112480739599386,random,Random Shuffle
11,0.0022470467385721617,random,Random Shuffle
12,0.002281616688396349,random,Random Shuffle
13,0.0022816166883963492,random,Random Shuffle
14,0.002259887005649717,random,Random Shuffle
15,0.0022245762711864407,random,Random Shuffle
16,0.0021809571286141574,random,Random Shuffle
17,0.002132491414644954,random,Random Shuffle
18,0.0020814748736247396,random,Random Shuffle
19,0.002140945584299732,random,Random Shuffle
20,0.0021791767554479417,random,Random Shuffle
21,0.0021461589258199424,random,Random Shuffle
22,0.002177262678368057,random,Random Shuffle
23,0.0021954065340211246,random,Random Shuffle
24,0.0022033898305084745,random,Random Shuffle
25,0.002203389830508474,random,Random Shuffle
26,0.002197112366603892,random,Random Shuffle
27,0.0021859026096314235,random,Random Shuffle
28,0.0021708274192201718,random,Random Shuffle
29,0.0021527371907266706,random,Random Shuffle
30,0.0021687625296154547,random,Random Shuffle
31,0.002152815746309459,random,Random Shuffle
32,0.0021346944016435543,random,Random Shuffle
33,0.0021526330100607267,random,Random Shuffle
34,0.0021649337701182166,random,Random Shuffle
35,0.0021522733387140166,random,Random Shuffle
36,0.002137730951290273,random,Random Shuffle
37,0.002121657786242978,random,Random Shuffle
