sol_number,avg_hamming,weights,Method
1,0.5333333333333333,random,Solution Pool
2,0.48888888888888893,random,Solution Pool
3,0.4888888888888889,random,Solution Pool
4,0.4800000000000001,random,Solution Pool
5,0.4622222222222223,random,Solution Pool
6,0.4888888888888888,random,Solution Pool
7,0.48571428571428577,random,Solution Pool
8,0.49259259259259264,random,Solution Pool
9,0.49777777777777793,random,Solution Pool
10,0.5018181818181819,random,Solution Pool
11,0.5030303030303029,random,Solution Pool
12,0.5042735042735041,random,Solution Pool
13,0.5025641025641024,random,Solution Pool
14,0.5003174603174603,random,Solution Pool
15,0.5011111111111112,random,Solution Pool
16,0.5009803921568627,random,Solution Pool
17,0.4976034858387799,random,Solution Pool
18,0.4927875243664717,random,Solution Pool
19,0.4933333333333333,random,Solution Pool
20,0.4933333333333333,random,Solution Pool
21,0.4923520923520923,random,Solution Pool
22,0.4906455862977602,random,Solution Pool
23,0.4879227053140096,random,Solution Pool
24,0.48799999999999993,random,Solution Pool
25,0.48492307692307685,random,Solution Pool
26,0.4869895536562203,random,Solution Pool
27,0.48677248677248675,random,Solution Pool
28,0.4876847290640394,random,Solution Pool
29,0.48766283524904214,random,Solution Pool
30,0.487168458781362,random,Solution Pool
31,0.4860215053763441,random,Solution Pool
32,0.4866161616161616,random,Solution Pool
33,0.48722519310754603,random,Solution Pool
34,0.4869467787114845,random,Solution Pool
35,0.4867724867724867,random,Solution Pool
36,0.4862862862862863,random,Solution Pool
37,0.4864864864864865,random,Solution Pool
38,0.4867296446243814,random,Solution Pool
39,0.48615384615384616,random,Solution Pool
40,0.48585365853658535,random,Solution Pool
41,0.48548199767711964,random,Solution Pool
42,0.4863787375415282,random,Solution Pool
43,0.48625792811839325,random,Solution Pool
44,0.4860606060606061,random,Solution Pool
45,0.4860547504025765,random,Solution Pool
46,0.486586493987049,random,Solution Pool
47,0.4862884160756501,random,Solution Pool
48,0.48639455782312924,random,Solution Pool
49,0.48598639455782305,random,Solution Pool
50,0.4855424836601307,random,Solution Pool
51,0.48526897938662644,random,Solution Pool
52,0.4843734881470731,random,Solution Pool
53,0.48367109247612383,random,Solution Pool
54,0.48323232323232324,random,Solution Pool
55,0.48380952380952374,random,Solution Pool
56,0.48446115288220554,random,Solution Pool
57,0.48412986489211535,random,Solution Pool
58,0.4841613091759205,random,Solution Pool
59,0.4843691148775895,random,Solution Pool
60,0.4839344262295082,random,Solution Pool
61,0.48432927904107176,random,Solution Pool
62,0.48445127154804574,random,Solution Pool
63,0.4843253968253968,random,Solution Pool
64,0.48455128205128206,random,Solution Pool
65,0.48435120435120427,random,Solution Pool
66,0.48382330770390464,random,Solution Pool
67,0.48375768217734855,random,Solution Pool
68,0.4838306337027564,random,Solution Pool
69,0.48391994478950995,random,Solution Pool
70,0.4844533869885983,random,Solution Pool
71,0.4842983828899322,random,Solution Pool
72,0.4837138508371385,random,Solution Pool
73,0.4840182648401825,random,Solution Pool
74,0.48393993993993994,random,Solution Pool
75,0.4837894736842105,random,Solution Pool
76,0.48389154704944176,random,Solution Pool
77,0.4836940836940837,random,Solution Pool
78,0.48339283782321757,random,Solution Pool
79,0.4835443037974684,random,Solution Pool
80,0.4836625514403292,random,Solution Pool
81,0.4833885375890796,random,Solution Pool
82,0.4834165932020766,random,Solution Pool
83,0.4834193918531268,random,Solution Pool
84,0.4834733893557423,random,Solution Pool
85,0.4833561331509348,random,Solution Pool
86,0.4832575960081975,random,Solution Pool
87,0.4828979449669105,random,Solution Pool
88,0.4827034388832142,random,Solution Pool
89,0.4825967540574282,random,Solution Pool
90,0.48218152218152216,random,Solution Pool
91,0.48224239528587354,random,Solution Pool
92,0.48200093501636276,random,Solution Pool
93,0.48211698314649576,random,Solution Pool
94,0.48197088465845467,random,Solution Pool
95,0.48233918128654973,random,Solution Pool
96,0.4822164948453608,random,Solution Pool
97,0.48185707272599754,random,Solution Pool
98,0.4817151102865389,random,Solution Pool
99,0.4814545454545454,random,Solution Pool
1,0.4,random,Random Shuffle
2,0.5333333333333333,random,Random Shuffle
3,0.4888888888888889,random,Random Shuffle
4,0.5066666666666666,random,Random Shuffle
5,0.5066666666666666,random,Random Shuffle
6,0.48888888888888893,random,Random Shuffle
7,0.49047619047619045,random,Random Shuffle
8,0.4962962962962963,random,Random Shuffle
9,0.4977777777777778,random,Random Shuffle
10,0.5042424242424244,random,Random Shuffle
11,0.49696969696969684,random,Random Shuffle
12,0.49914529914529904,random,Random Shuffle
13,0.4952380952380952,random,Random Shuffle
14,0.4901587301587302,random,Random Shuffle
15,0.4922222222222223,random,Random Shuffle
16,0.49117647058823516,random,Random Shuffle
17,0.49237472766884527,random,Random Shuffle
18,0.49278752436647166,random,Random Shuffle
19,0.49052631578947364,random,Random Shuffle
20,0.4882539682539682,random,Random Shuffle
21,0.49004329004329,random,Random Shuffle
22,0.48853754940711464,random,Random Shuffle
23,0.4884057971014491,random,Random Shuffle
24,0.4875555555555555,random,Random Shuffle
25,0.4877948717948717,random,Random Shuffle
26,0.4892687559354226,random,Random Shuffle
27,0.48888888888888893,random,Random Shuffle
28,0.4876847290640394,random,Random Shuffle
29,0.48582375478927203,random,Random Shuffle
30,0.4854480286738352,random,Random Shuffle
31,0.4860215053763441,random,Random Shuffle
32,0.4858585858585858,random,Random Shuffle
33,0.483184789067142,random,Random Shuffle
34,0.4835854341736695,random,Random Shuffle
35,0.48190476190476184,random,Random Shuffle
36,0.4804804804804805,random,Random Shuffle
37,0.47946894262683726,random,Random Shuffle
38,0.48115159694107057,random,Random Shuffle
39,0.48205128205128206,random,Random Shuffle
40,0.4811382113821139,random,Random Shuffle
41,0.48068137824235385,random,Random Shuffle
42,0.4823920265780731,random,Random Shuffle
43,0.48174770965468644,random,Random Shuffle
44,0.4816161616161616,random,Random Shuffle
45,0.48206119162640904,random,Random Shuffle
46,0.4821461609620722,random,Random Shuffle
47,0.4819148936170212,random,Random Shuffle
48,0.48140589569160996,random,Random Shuffle
49,0.4827210884353741,random,Random Shuffle
50,0.4823006535947712,random,Random Shuffle
51,0.48174962292609347,random,Random Shuffle
52,0.4807934204160619,random,Random Shuffle
53,0.4803167947822035,random,Random Shuffle
54,0.4815263748597082,random,Random Shuffle
55,0.48121212121212115,random,Random Shuffle
56,0.48187134502923973,random,Random Shuffle
57,0.4821939907239363,random,Random Shuffle
58,0.4815117864796415,random,Random Shuffle
59,0.48060263653484,random,Random Shuffle
60,0.48116575591985433,random,Random Shuffle
61,0.48143839238498154,random,Random Shuffle
62,0.4825396825396826,random,Random Shuffle
63,0.482936507936508,random,Random Shuffle
64,0.48333333333333334,random,Random Shuffle
65,0.4828593628593629,random,Random Shuffle
66,0.48219508518015974,random,Random Shuffle
67,0.48229441030143394,random,Random Shuffle
68,0.4816709292412617,random,Random Shuffle
69,0.4813250517598344,random,Random Shuffle
70,0.48123407109322597,random,Random Shuffle
71,0.4809076682316119,random,Random Shuffle
72,0.48046676813800093,random,Random Shuffle
73,0.4806121189682833,random,Random Shuffle
74,0.48043243243243244,random,Random Shuffle
75,0.48060818713450293,random,Random Shuffle
76,0.4803827751196172,random,Random Shuffle
77,0.48085248085248083,random,Random Shuffle
78,0.48105593422049114,random,Random Shuffle
79,0.48063291139240505,random,Random Shuffle
80,0.4803703703703704,random,Random Shuffle
81,0.48045769346582357,random,Random Shuffle
82,0.4802037417964541,random,Random Shuffle
83,0.48047427806463955,random,Random Shuffle
84,0.4802240896358544,random,Random Shuffle
85,0.48065663474692205,random,Random Shuffle
86,0.48104784816893875,random,Random Shuffle
87,0.48087774294670843,random,Random Shuffle
88,0.48089887640449447,random,Random Shuffle
89,0.48089887640449436,random,Random Shuffle
90,0.4811721611721612,random,Random Shuffle
91,0.48080904602643737,random,Random Shuffle
92,0.4805360760479975,random,Random Shuffle
93,0.4807137954701441,random,Random Shuffle
94,0.48086599477416947,random,Random Shuffle
95,0.48114035087719287,random,Random Shuffle
96,0.4812428407789232,random,Random Shuffle
97,0.48166070551932105,random,Random Shuffle
98,0.48130282415996695,random,Random Shuffle
99,0.4814545454545454,random,Random Shuffle
1,0.6666666666666666,random,Greedy
2,0.6222222222222222,random,Greedy
3,0.6,random,Greedy
4,0.5733333333333334,random,Greedy
5,0.56,random,Greedy
6,0.546031746031746,random,Greedy
7,0.5380952380952381,random,Greedy
8,0.5333333333333335,random,Greedy
9,0.5303703703703705,random,Greedy
10,0.5236363636363637,random,Greedy
11,0.5191919191919191,random,Greedy
12,0.5162393162393162,random,Greedy
13,0.5142857142857142,random,Greedy
14,0.5117460317460317,random,Greedy
15,0.51,random,Greedy
16,0.5078431372549019,random,Greedy
17,0.5063180827886711,random,Greedy
18,0.5052631578947367,random,Greedy
19,0.5038596491228069,random,Greedy
20,0.5028571428571428,random,Greedy
21,0.5021645021645021,random,Greedy
22,0.501185770750988,random,Greedy
23,0.4999999999999999,random,Greedy
24,0.49911111111111117,random,Greedy
25,0.4984615384615384,random,Greedy
26,0.4980056980056979,random,Greedy
27,0.4973544973544973,random,Greedy
28,0.49655172413793097,random,Greedy
29,0.49593869731800766,random,Greedy
30,0.49548387096774194,random,Greedy
31,0.49489247311827955,random,Greedy
32,0.4946969696969697,random,Greedy
33,0.4941176470588235,random,Greedy
34,0.4938935574229691,random,Greedy
35,0.49333333333333335,random,Greedy
36,0.49309309309309307,random,Greedy
37,0.49274537695590326,random,Greedy
38,0.49230769230769234,random,Greedy
39,0.49196581196581196,random,Greedy
40,0.4917073170731707,random,Greedy
41,0.4913666279519938,random,Greedy
42,0.4911037283130306,random,Greedy
43,0.4909090909090909,random,Greedy
44,0.4907744107744108,random,Greedy
45,0.49043478260869566,random,Greedy
46,0.49016342892383585,random,Greedy
47,0.4899527186761229,random,Greedy
48,0.4897959183673469,random,Greedy
49,0.48957823129251704,random,Greedy
50,0.4894117647058824,random,Greedy
51,0.4891905480140773,random,Greedy
52,0.489017900338655,random,Greedy
53,0.4888888888888888,random,Greedy
54,0.48870931537598206,random,Greedy
55,0.48857142857142855,random,Greedy
56,0.4883876357560568,random,Greedy
57,0.4882435974994958,random,Greedy
58,0.48813559322033895,random,Greedy
59,0.488060263653484,random,Greedy
60,0.48786885245901634,random,Greedy
61,0.4877137317116164,random,Greedy
62,0.4876600102406555,random,Greedy
63,0.4875,random,Greedy
64,0.4873717948717949,random,Greedy
65,0.4872727272727273,random,Greedy
66,0.487140057289311,random,Greedy
67,0.48703541117939714,random,Greedy
68,0.48695652173913045,random,Greedy
69,0.48684610075914425,random,Greedy
70,0.4867069081153588,random,Greedy
71,0.48659363588941046,random,Greedy
72,0.4865043125317098,random,Greedy
73,0.48638775762063424,random,Greedy
74,0.4862942942942943,random,Greedy
75,0.48622222222222217,random,Greedy
76,0.4861244019138756,random,Greedy
77,0.4860472860472861,random,Greedy
78,0.4859461213891594,random,Greedy
79,0.48586497890295355,random,Greedy
80,0.4857201646090535,random,Greedy
81,0.48559670781893,random,Greedy
82,0.4854931922813204,random,Greedy
83,0.4853318034040926,random,Greedy
84,0.4851914098972922,random,Greedy
85,0.48507067943456456,random,Greedy
