sol_number,avg_hamming,weights,Method
1,0.019230769230769232,random,Solution Pool
2,0.012820512820512822,random,Solution Pool
3,0.009615384615384616,random,Solution Pool
4,0.007692307692307693,random,Solution Pool
5,0.010256410256410256,random,Solution Pool
6,0.010989010989010986,random,Solution Pool
7,0.010302197802197802,random,Solution Pool
8,0.009615384615384616,random,Solution Pool
9,0.010256410256410256,random,Solution Pool
10,0.010489510489510493,random,Solution Pool
11,0.01048951048951049,random,Solution Pool
12,0.010355029585798817,random,Solution Pool
13,0.01035502958579882,random,Solution Pool
14,0.010256410256410256,random,Solution Pool
15,0.010096153846153845,random,Solution Pool
16,0.00989819004524887,random,Solution Pool
17,0.010055304172951232,random,Solution Pool
18,0.009896536212325687,random,Solution Pool
19,0.010020242914979759,random,Solution Pool
20,0.00989010989010989,random,Solution Pool
21,0.00974025974025974,random,Solution Pool
22,0.009881422924901186,random,Solution Pool
23,0.009754738015607582,random,Solution Pool
24,0.009615384615384616,random,Solution Pool
25,0.009763313609467457,random,Solution Pool
26,0.009861932938856018,random,Solution Pool
27,0.009920634920634922,random,Solution Pool
28,0.009946949602122016,random,Solution Pool
29,0.009902740937223695,random,Solution Pool
30,0.009925558312655085,random,Solution Pool
31,0.009925558312655087,random,Solution Pool
32,0.009906759906759908,random,Solution Pool
33,0.009872480460715755,random,Solution Pool
34,0.009890109890109891,random,Solution Pool
35,0.00989010989010989,random,Solution Pool
36,0.009875259875259876,random,Solution Pool
37,0.00984790458474669,random,Solution Pool
38,0.009810028028651512,random,Solution Pool
39,0.009763313609467455,random,Solution Pool
40,0.00980300187617261,random,Solution Pool
41,0.00982757080318056,random,Solution Pool
42,0.009796405145242356,random,Solution Pool
43,0.009757684176288826,random,Solution Pool
44,0.00979020979020979,random,Solution Pool
45,0.009810479375696766,random,Solution Pool
46,0.009784387675229489,random,Solution Pool
47,0.00975177304964539,random,Solution Pool
48,0.009713500784929356,random,Solution Pool
49,0.00967032967032967,random,Solution Pool
50,0.00971342383107089,random,Solution Pool
51,0.00967339598561318,random,Solution Pool
52,0.00962934018086413,random,Solution Pool
53,0.009581787883674678,random,Solution Pool
54,0.00953120953120953,random,Solution Pool
55,0.009478021978021979,random,Solution Pool
56,0.00942259494891074,random,Solution Pool
