sol_number,avg_hamming,weights,Method
1,0.13095238095238096,random,Solution Pool
2,0.12301587301587302,random,Solution Pool
3,0.12896825396825395,random,Solution Pool
4,0.12380952380952379,random,Solution Pool
5,0.11904761904761904,random,Solution Pool
6,0.11734693877551021,random,Solution Pool
7,0.11947278911564627,random,Solution Pool
8,0.12070105820105821,random,Solution Pool
9,0.11666666666666664,random,Solution Pool
10,0.11774891774891771,random,Solution Pool
11,0.11688311688311687,random,Solution Pool
12,0.115995115995116,random,Solution Pool
13,0.11394557823129253,random,Solution Pool
14,0.11383219954648527,random,Solution Pool
15,0.11349206349206349,random,Solution Pool
16,0.11449579831932771,random,Solution Pool
17,0.11507936507936506,random,Solution Pool
18,0.11473127262600948,random,Solution Pool
19,0.11654135338345863,random,Solution Pool
20,0.11536281179138322,random,Solution Pool
21,0.1160070088641517,random,Solution Pool
22,0.11678900809335592,random,Solution Pool
23,0.11762422360248445,random,Solution Pool
24,0.11726190476190475,random,Solution Pool
25,0.11736263736263736,random,Solution Pool
26,0.11741961741961743,random,Solution Pool
27,0.11740992693373645,random,Solution Pool
28,0.11725897255453907,random,Solution Pool
29,0.1165024630541872,random,Solution Pool
30,0.11658986175115206,random,Solution Pool
31,0.11674347158218126,random,Solution Pool
32,0.11683802308802309,random,Solution Pool
33,0.11628893981835159,random,Solution Pool
34,0.11614645858343338,random,Solution Pool
35,0.11626984126984127,random,Solution Pool
36,0.11604461604461605,random,Solution Pool
37,0.11655828761091919,random,Solution Pool
38,0.11655741918899812,random,Solution Pool
39,0.11706349206349206,random,Solution Pool
40,0.11742160278745643,random,Solution Pool
41,0.11769260549748355,random,Solution Pool
42,0.1183093392395718,random,Solution Pool
43,0.1185190778214034,random,Solution Pool
44,0.11856661856661857,random,Solution Pool
45,0.11851851851851851,random,Solution Pool
46,0.11845293158891677,random,Solution Pool
47,0.11846715636609254,random,Solution Pool
48,0.11825801749271135,random,Solution Pool
49,0.11833819241982509,random,Solution Pool
50,0.1181045751633987,random,Solution Pool
51,0.11796128707893415,random,Solution Pool
52,0.11802819821687746,random,Solution Pool
53,0.11812418887890586,random,Solution Pool
54,0.11829405162738496,random,Solution Pool
55,0.11846011131725416,random,Solution Pool
56,0.11864482635159325,random,Solution Pool
57,0.11853628323682772,random,Solution Pool
58,0.11821268542484206,random,Solution Pool
59,0.11830104923325262,random,Solution Pool
60,0.11841009627894873,random,Solution Pool
61,0.11842436604467277,random,Solution Pool
62,0.11836490868748933,random,Solution Pool
63,0.11855749244142101,random,Solution Pool
64,0.11843521062271062,random,Solution Pool
65,0.11845376845376844,random,Solution Pool
66,0.11858995067950293,random,Solution Pool
67,0.11837346879050126,random,Solution Pool
68,0.11844375431331952,random,Solution Pool
69,0.11853987972000395,random,Solution Pool
70,0.11861167002012073,random,Solution Pool
71,0.11864706759072956,random,Solution Pool
72,0.11873958106834819,random,Solution Pool
73,0.11877875918971809,random,Solution Pool
74,0.11883311883311881,random,Solution Pool
75,0.11878028404344193,random,Solution Pool
76,0.11864075773850209,random,Solution Pool
77,0.11872254729397587,random,Solution Pool
78,0.11863417876076104,random,Solution Pool
79,0.11888562386980107,random,Solution Pool
80,0.11899250440917107,random,Solution Pool
81,0.11899384866864542,random,Solution Pool
82,0.11905461567524453,random,Solution Pool
83,0.11880173756249487,random,Solution Pool
84,0.11882086167800454,random,Solution Pool
85,0.1187609927692007,random,Solution Pool
86,0.11881213324677639,random,Solution Pool
87,0.11882059511369855,random,Solution Pool
88,0.11881049661948538,random,Solution Pool
89,0.1188276559063076,random,Solution Pool
90,0.11860864003721147,random,Solution Pool
91,0.11863809068778013,random,Solution Pool
92,0.11859124201340189,random,Solution Pool
93,0.11862274079158087,random,Solution Pool
94,0.1185970244760838,random,Solution Pool
95,0.11846804511278194,random,Solution Pool
96,0.1182907871052201,random,Solution Pool
97,0.11829120455251318,random,Solution Pool
98,0.11839974084872044,random,Solution Pool
99,0.11834776334776334,random,Solution Pool
1,0.10714285714285714,random,Random Shuffle
2,0.13095238095238096,random,Random Shuffle
3,0.11904761904761905,random,Random Shuffle
4,0.11904761904761903,random,Random Shuffle
5,0.11746031746031743,random,Random Shuffle
6,0.12188208616780044,random,Random Shuffle
